MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
247,215,240,196,349,67,508,435,314,2022-01-23 11:48:23.432
245,217,240,197,348,66,507,435,314,2022-01-23 11:48:23.548
245,217,240,196,348,67,507,435,315,2022-01-23 11:48:23.666
248,224,242,198,348,66,508,434,316,2022-01-23 11:48:23.765
249,224,240,196,347,65,504,432,320,2022-01-23 11:48:23.880
247,228,240,196,348,65,504,433,318,2022-01-23 11:48:23.981
255,229,240,196,347,65,503,433,326,2022-01-23 11:48:24.096
245,223,240,196,347,65,506,434,318,2022-01-23 11:48:24.211
250,227,242,198,347,66,506,434,309,2022-01-23 11:48:24.318
245,225,240,196,349,64,504,433,312,2022-01-23 11:48:24.418
250,227,242,196,346,65,506,433,309,2022-01-23 11:48:24.534
247,227,242,198,348,66,507,436,308,2022-01-23 11:48:24.654
248,228,242,198,347,66,507,435,310,2022-01-23 11:48:24.754
250,227,242,198,347,66,507,434,309,2022-01-23 11:48:24.869
245,225,240,196,348,65,505,434,312,2022-01-23 11:48:24.985
247,228,240,196,348,66,507,436,308,2022-01-23 11:48:25.086
245,228,241,196,348,63,506,435,310,2022-01-23 11:48:25.201
248,229,241,197,345,64,503,433,311,2022-01-23 11:48:25.317
245,231,241,196,347,66,507,435,310,2022-01-23 11:48:25.424
250,246,240,196,345,64,505,433,313,2022-01-23 11:48:25.539
247,244,241,196,347,65,505,433,314,2022-01-23 11:48:25.640
247,253,241,197,347,63,505,434,316,2022-01-23 11:48:25.755
250,258,242,198,347,66,508,434,309,2022-01-23 11:48:25.871
250,258,242,198,346,65,507,433,309,2022-01-23 11:48:25.972
250,258,242,198,346,66,507,434,309,2022-01-23 11:48:26.088
250,258,242,198,347,66,508,434,307,2022-01-23 11:48:26.204
247,257,241,196,348,63,507,434,316,2022-01-23 11:48:26.303
247,256,241,197,347,61,506,434,314,2022-01-23 11:48:26.424
250,258,242,198,347,64,509,434,311,2022-01-23 11:48:26.524
