MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
395,375,509,393,317,62,791,697,324,2022-01-17 12:35:33.794
398,379,507,393,317,61,790,694,325,2022-01-17 12:35:33.903
397,378,510,396,319,62,792,696,324,2022-01-17 12:35:34.013
398,380,510,397,320,62,792,696,325,2022-01-17 12:35:34.122
395,377,513,399,322,62,791,697,326,2022-01-17 12:35:34.232
395,377,514,402,324,62,793,699,326,2022-01-17 12:35:34.342
398,382,513,402,324,61,792,696,327,2022-01-17 12:35:34.451
398,382,514,403,325,61,792,696,327,2022-01-17 12:35:34.560
398,384,516,405,327,61,792,696,325,2022-01-17 12:35:34.671
396,380,517,407,328,60,791,697,328,2022-01-17 12:35:34.781
398,383,516,408,329,61,792,696,328,2022-01-17 12:35:34.892
398,384,518,409,330,61,792,696,327,2022-01-17 12:35:35.002
398,383,519,411,332,60,790,696,328,2022-01-17 12:35:35.113
398,385,520,412,333,61,792,694,327,2022-01-17 12:35:35.224
396,383,522,415,335,60,793,697,328,2022-01-17 12:35:35.334
399,387,522,415,335,61,792,696,327,2022-01-17 12:35:35.445
395,385,526,419,339,62,797,700,326,2022-01-17 12:35:35.556
398,388,524,418,339,60,794,696,328,2022-01-17 12:35:35.666
397,388,528,422,342,62,798,696,325,2022-01-17 12:35:35.777
396,388,528,422,343,60,797,697,330,2022-01-17 12:35:35.887
396,389,530,425,344,62,799,700,328,2022-01-17 12:35:35.998
398,391,528,423,343,60,794,695,330,2022-01-17 12:35:36.109
398,394,531,426,346,61,798,694,327,2022-01-17 12:35:36.220
396,391,533,428,349,60,797,697,330,2022-01-17 12:35:36.330
396,393,534,429,351,62,797,697,330,2022-01-17 12:35:36.441
396,394,536,432,352,62,799,699,328,2022-01-17 12:35:36.552
396,398,537,432,352,62,797,696,327,2022-01-17 12:35:36.662
398,399,537,432,354,63,796,696,327,2022-01-17 12:35:36.773
396,397,538,435,356,62,797,699,328,2022-01-17 12:35:36.883
398,401,537,435,357,61,792,696,314,2022-01-17 12:35:36.994
396,400,542,438,359,62,797,700,328,2022-01-17 12:35:37.105
399,404,540,438,359,61,794,696,327,2022-01-17 12:35:37.215
396,403,544,442,362,62,797,701,326,2022-01-17 12:35:37.326
397,403,544,443,364,62,793,701,328,2022-01-17 12:35:37.437
396,405,546,445,366,62,793,701,326,2022-01-17 12:35:37.547
396,407,548,446,366,63,795,701,325,2022-01-17 12:35:37.658
397,409,549,447,368,63,793,701,327,2022-01-17 12:35:37.768
397,409,548,449,369,62,789,701,330,2022-01-17 12:35:37.879
399,413,547,449,369,61,787,698,331,2022-01-17 12:35:37.989
397,412,552,453,372,63,791,702,328,2022-01-17 12:35:38.101
397,413,550,453,373,61,788,701,328,2022-01-17 12:35:38.211
397,413,552,454,375,61,789,703,328,2022-01-17 12:35:38.322
397,416,555,456,378,62,791,703,327,2022-01-17 12:35:38.432
399,419,552,455,377,61,786,700,328,2022-01-17 12:35:38.543
398,419,554,457,380,61,786,702,328,2022-01-17 12:35:38.655
398,420,557,460,378,54,808,715,325,2022-01-17 12:35:38.764
399,424,557,460,384,64,787,699,327,2022-01-17 12:35:38.875
398,422,560,462,386,63,789,702,327,2022-01-17 12:35:38.986
399,426,558,462,387,61,786,699,327,2022-01-17 12:35:39.096
396,423,562,465,391,62,789,703,330,2022-01-17 12:35:39.207
399,428,560,464,390,63,786,700,321,2022-01-17 12:35:39.318
397,425,563,468,394,62,789,704,334,2022-01-17 12:35:39.428
397,427,564,469,396,62,789,704,331,2022-01-17 12:35:39.539
398,431,564,469,396,63,788,702,332,2022-01-17 12:35:39.649
399,433,565,470,398,63,787,702,335,2022-01-17 12:35:39.760
397,432,567,473,401,63,789,704,333,2022-01-17 12:35:39.871
396,432,568,474,403,62,789,704,334,2022-01-17 12:35:39.982
397,433,569,475,406,62,789,704,338,2022-01-17 12:35:40.092
397,435,568,476,406,63,785,705,335,2022-01-17 12:35:40.203
398,438,569,477,408,63,784,702,333,2022-01-17 12:35:40.313
397,437,571,478,410,62,784,704,332,2022-01-17 12:35:40.425
396,437,572,480,412,63,781,705,334,2022-01-17 12:35:40.535
397,438,570,480,413,62,779,704,344,2022-01-17 12:35:40.645
397,439,573,482,416,62,777,704,331,2022-01-17 12:35:40.756
397,441,573,484,418,62,773,705,330,2022-01-17 12:35:40.867
399,444,573,482,418,63,770,702,325,2022-01-17 12:35:40.977
398,444,575,484,420,63,767,702,325,2022-01-17 12:35:41.088
397,443,575,486,423,62,764,705,326,2022-01-17 12:35:41.198
397,444,577,487,425,62,757,705,325,2022-01-17 12:35:41.309
397,447,577,488,426,62,755,704,325,2022-01-17 12:35:41.419
398,447,575,487,427,61,746,703,328,2022-01-17 12:35:41.531
397,447,576,489,429,61,745,705,326,2022-01-17 12:35:41.641
398,449,576,489,431,61,741,705,328,2022-01-17 12:35:41.752
397,449,580,492,434,63,743,706,325,2022-01-17 12:35:41.862
397,450,581,493,435,62,741,708,324,2022-01-17 12:35:41.973
397,450,580,494,437,62,741,708,328,2022-01-17 12:35:42.084
400,454,577,493,437,61,738,706,328,2022-01-17 12:35:42.194
399,456,580,494,437,65,744,706,327,2022-01-17 12:35:42.305
397,453,583,497,442,62,749,709,324,2022-01-17 12:35:42.416
398,454,582,496,443,61,749,709,328,2022-01-17 12:35:42.526
397,455,585,499,446,62,756,711,324,2022-01-17 12:35:42.637
397,455,586,499,448,62,757,711,324,2022-01-17 12:35:42.748
397,457,586,500,449,62,761,713,323,2022-01-17 12:35:42.858
399,462,585,499,449,63,763,710,311,2022-01-17 12:35:42.969
397,459,586,501,451,61,767,708,328,2022-01-17 12:35:43.079
397,460,588,503,453,62,772,709,334,2022-01-17 12:35:43.190
398,463,589,503,454,66,775,708,313,2022-01-17 12:35:43.301
399,463,586,502,455,61,774,707,329,2022-01-17 12:35:43.412
400,465,586,502,457,61,776,708,314,2022-01-17 12:35:43.522
397,464,591,506,460,63,781,711,312,2022-01-17 12:35:43.632
400,468,591,505,460,63,782,708,325,2022-01-17 12:35:43.744
400,469,587,504,461,61,782,707,332,2022-01-17 12:35:43.856
402,471,589,505,462,61,782,706,335,2022-01-17 12:35:43.968
399,469,590,507,465,61,783,708,314,2022-01-17 12:35:44.079
400,474,591,507,465,63,783,706,325,2022-01-17 12:35:44.191
399,472,590,508,469,61,784,708,328,2022-01-17 12:35:44.302
400,474,591,509,470,61,783,707,328,2022-01-17 12:35:44.415
402,478,591,509,470,61,782,704,327,2022-01-17 12:35:44.526
400,476,591,510,473,61,783,706,330,2022-01-17 12:35:44.638
400,479,593,511,474,63,784,704,325,2022-01-17 12:35:44.750
397,477,595,513,478,62,785,708,328,2022-01-17 12:35:44.861
402,481,591,511,477,61,782,706,336,2022-01-17 12:35:44.973
399,479,594,514,481,62,784,709,334,2022-01-17 12:35:45.085
402,484,592,513,479,61,779,706,337,2022-01-17 12:35:45.196
400,482,593,514,483,61,779,706,337,2022-01-17 12:35:45.308
402,486,593,514,482,63,778,703,313,2022-01-17 12:35:45.420
399,484,597,517,486,62,781,708,334,2022-01-17 12:35:45.531
400,487,595,517,487,63,777,706,333,2022-01-17 12:35:45.643
399,486,596,518,490,62,777,708,333,2022-01-17 12:35:45.754
400,486,597,520,491,62,775,709,334,2022-01-17 12:35:45.867
401,488,592,517,490,61,770,708,332,2022-01-17 12:35:45.978
402,491,592,518,491,61,770,706,333,2022-01-17 12:35:46.090
400,488,595,520,495,62,771,711,328,2022-01-17 12:35:46.202
402,491,592,519,495,61,767,710,316,2022-01-17 12:35:46.313
400,491,597,522,498,63,772,713,327,2022-01-17 12:35:46.425
399,491,597,523,500,63,772,713,326,2022-01-17 12:35:46.537
402,494,597,522,499,63,771,712,323,2022-01-17 12:35:46.648
400,492,598,524,502,62,769,716,330,2022-01-17 12:35:46.759
402,496,594,521,500,61,766,712,316,2022-01-17 12:35:46.872
401,494,596,523,504,61,767,713,314,2022-01-17 12:35:46.983
403,497,595,522,503,61,766,713,330,2022-01-17 12:35:47.095
402,499,597,523,504,63,766,714,325,2022-01-17 12:35:47.207
402,497,597,524,508,61,765,716,331,2022-01-17 12:35:47.318
403,500,597,523,507,61,766,714,327,2022-01-17 12:35:47.430
401,499,601,527,509,63,769,717,328,2022-01-17 12:35:47.542
403,500,597,525,509,61,763,715,335,2022-01-17 12:35:47.653
400,500,602,529,513,62,769,719,335,2022-01-17 12:35:47.765
400,499,602,529,515,62,768,719,326,2022-01-17 12:35:47.877
402,502,599,526,514,61,763,716,316,2022-01-17 12:35:47.988
403,503,599,526,513,61,762,714,329,2022-01-17 12:35:48.100
401,502,600,529,517,61,761,717,334,2022-01-17 12:35:48.212
402,505,603,529,517,63,762,716,336,2022-01-17 12:35:48.326
403,507,600,528,516,63,758,714,329,2022-01-17 12:35:48.435
400,505,605,532,520,62,759,717,326,2022-01-17 12:35:48.547
401,505,603,531,522,61,755,717,330,2022-01-17 12:35:48.659
401,506,605,533,523,63,756,717,323,2022-01-17 12:35:48.770
402,506,603,531,523,61,749,717,318,2022-01-17 12:35:48.882
403,511,603,530,522,61,746,714,337,2022-01-17 12:35:48.994
407,517,611,538,524,61,739,714,315,2022-01-17 12:35:49.105
401,509,607,534,527,62,743,717,311,2022-01-17 12:35:49.217
403,510,603,532,526,61,736,714,335,2022-01-17 12:35:49.329
401,509,606,535,530,62,735,717,326,2022-01-17 12:35:49.440
404,515,604,532,527,61,730,714,321,2022-01-17 12:35:49.552
401,512,609,536,531,62,727,717,321,2022-01-17 12:35:49.664
401,513,608,536,532,63,725,715,332,2022-01-17 12:35:49.775
403,515,603,534,531,61,715,712,333,2022-01-17 12:35:49.887
401,514,608,537,534,63,716,716,332,2022-01-17 12:35:49.999
402,518,607,535,532,63,710,714,333,2022-01-17 12:35:50.110
401,515,610,537,537,62,707,717,332,2022-01-17 12:35:50.222
403,518,609,537,535,62,702,715,332,2022-01-17 12:35:50.333
402,516,606,538,537,61,696,716,334,2022-01-17 12:35:50.445
404,520,606,535,535,61,691,714,337,2022-01-17 12:35:50.557
403,518,606,537,538,61,690,717,338,2022-01-17 12:35:50.669
402,521,610,539,539,62,691,718,335,2022-01-17 12:35:50.780
403,520,608,538,540,61,686,717,338,2022-01-17 12:35:50.892
402,521,612,540,541,63,689,719,333,2022-01-17 12:35:51.004
404,523,608,538,540,61,683,716,336,2022-01-17 12:35:51.115
404,523,608,538,540,61,682,718,333,2022-01-17 12:35:51.227
404,523,608,538,542,61,682,718,334,2022-01-17 12:35:51.339
404,524,608,539,542,61,681,719,335,2022-01-17 12:35:51.451
401,523,614,542,547,62,684,721,334,2022-01-17 12:35:51.562
404,527,609,538,543,61,680,716,336,2022-01-17 12:35:51.675
404,527,610,539,544,61,680,718,336,2022-01-17 12:35:51.786
401,526,615,542,548,62,684,721,335,2022-01-17 12:35:51.897
401,526,614,542,548,62,681,721,334,2022-01-17 12:35:52.009
404,529,610,539,547,61,678,720,331,2022-01-17 12:35:52.121
401,528,616,542,550,62,683,724,328,2022-01-17 12:35:52.232
403,530,612,541,549,61,680,722,330,2022-01-17 12:35:52.344
406,533,612,539,547,61,682,722,328,2022-01-17 12:35:52.456
403,532,617,542,550,63,685,724,325,2022-01-17 12:35:52.567
404,536,613,539,549,61,682,722,327,2022-01-17 12:35:52.679
403,533,612,541,552,61,683,723,330,2022-01-17 12:35:52.790
401,533,616,543,553,62,685,725,328,2022-01-17 12:35:52.903
406,538,613,539,551,61,682,722,327,2022-01-17 12:35:53.014
403,538,616,542,552,62,686,724,323,2022-01-17 12:35:53.126
406,541,614,540,551,61,684,723,327,2022-01-17 12:35:53.238
402,537,617,543,556,62,688,725,330,2022-01-17 12:35:53.349
405,541,612,540,555,61,683,724,330,2022-01-17 12:35:53.461
404,543,615,542,555,63,685,724,325,2022-01-17 12:35:53.573
406,545,613,540,554,61,683,722,327,2022-01-17 12:35:53.684
404,542,612,543,558,61,685,724,330,2022-01-17 12:35:53.796
403,542,614,544,559,62,687,727,328,2022-01-17 12:35:53.908
406,546,610,541,557,61,684,723,330,2022-01-17 12:35:54.019
404,546,613,544,558,63,689,726,329,2022-01-17 12:35:54.131
404,545,611,544,560,61,688,725,339,2022-01-17 12:35:54.242
404,548,613,545,559,63,691,726,325,2022-01-17 12:35:54.354
404,548,613,545,560,63,693,725,321,2022-01-17 12:35:54.466
403,546,612,546,562,62,695,725,330,2022-01-17 12:35:54.577
406,549,608,544,560,61,694,726,331,2022-01-17 12:35:54.690
404,549,612,546,563,63,703,725,323,2022-01-17 12:35:54.801
405,548,610,546,563,61,703,725,322,2022-01-17 12:35:54.913
406,551,612,546,561,63,708,720,313,2022-01-17 12:35:55.024
404,550,613,548,564,62,713,723,315,2022-01-17 12:35:55.136
407,553,608,544,562,61,712,716,317,2022-01-17 12:35:55.248
407,554,609,545,561,61,715,715,316,2022-01-17 12:35:55.360
407,552,608,546,563,61,718,717,314,2022-01-17 12:35:55.471
404,552,613,549,565,62,725,721,335,2022-01-17 12:35:55.583
405,552,610,549,566,61,724,711,326,2022-01-17 12:35:55.694
406,555,612,548,564,62,727,706,329,2022-01-17 12:35:55.806
408,555,608,547,564,61,726,706,329,2022-01-17 12:35:55.918
405,552,612,550,568,62,731,723,330,2022-01-17 12:35:56.029
405,552,613,552,569,62,733,725,328,2022-01-17 12:35:56.141
408,556,609,548,567,61,734,722,331,2022-01-17 12:35:56.253
408,557,610,548,566,61,736,722,331,2022-01-17 12:35:56.365
407,555,610,550,568,61,738,723,330,2022-01-17 12:35:56.477
408,558,613,549,567,63,742,714,327,2022-01-17 12:35:56.588
405,554,614,552,571,62,743,725,330,2022-01-17 12:35:56.701
405,555,615,554,571,62,749,721,328,2022-01-17 12:35:56.812
407,556,612,552,570,61,745,712,330,2022-01-17 12:35:56.923
405,555,616,554,572,62,749,717,330,2022-01-17 12:35:57.035
408,559,612,551,568,61,750,712,331,2022-01-17 12:35:57.146
405,556,617,555,573,62,753,725,330,2022-01-17 12:35:57.258
408,560,615,552,569,63,754,716,327,2022-01-17 12:35:57.370
407,558,616,555,573,62,753,711,330,2022-01-17 12:35:57.482
408,561,615,553,570,62,754,714,327,2022-01-17 12:35:57.593
409,562,613,552,571,61,754,720,331,2022-01-17 12:35:57.705
406,560,618,556,573,62,759,713,329,2022-01-17 12:35:57.816
410,563,614,553,571,61,755,714,331,2022-01-17 12:35:57.928
410,562,614,553,571,61,755,712,331,2022-01-17 12:35:58.039
407,560,618,557,575,61,759,732,330,2022-01-17 12:35:58.152
405,560,620,558,575,62,761,725,328,2022-01-17 12:35:58.264
409,564,615,554,574,61,756,694,330,2022-01-17 12:35:58.375
405,561,620,559,577,62,759,725,328,2022-01-17 12:35:58.487
407,562,620,559,576,62,761,725,329,2022-01-17 12:35:58.598
409,564,616,557,575,61,755,719,332,2022-01-17 12:35:58.710
407,564,621,559,576,63,759,725,331,2022-01-17 12:35:58.822
407,563,621,560,577,62,759,719,334,2022-01-17 12:35:58.933
410,567,616,556,574,61,754,714,333,2022-01-17 12:35:59.045
407,564,621,561,578,62,759,723,332,2022-01-17 12:35:59.157
410,568,617,557,574,61,758,718,335,2022-01-17 12:35:59.269
410,569,617,557,574,61,758,714,336,2022-01-17 12:35:59.380
407,567,622,561,578,62,761,735,332,2022-01-17 12:35:59.492
411,569,618,557,575,61,755,731,332,2022-01-17 12:35:59.603
410,569,621,559,576,62,758,730,329,2022-01-17 12:35:59.715
408,568,623,561,579,62,759,723,329,2022-01-17 12:35:59.827
407,569,623,561,580,62,759,707,328,2022-01-17 12:35:59.939
410,572,621,559,577,63,754,716,327,2022-01-17 12:36:00.050
408,570,623,562,580,62,756,717,326,2022-01-17 12:36:00.162
411,573,620,559,578,61,750,734,327,2022-01-17 12:36:00.274
410,573,621,560,579,63,750,735,327,2022-01-17 12:36:00.385
407,569,623,562,582,62,748,740,328,2022-01-17 12:36:00.497
411,574,620,558,578,61,742,736,329,2022-01-17 12:36:00.609
408,573,624,561,581,63,743,738,325,2022-01-17 12:36:00.720
411,576,620,559,578,61,738,736,329,2022-01-17 12:36:00.832
410,575,623,561,580,62,737,742,327,2022-01-17 12:36:00.944
407,573,625,562,583,62,735,741,327,2022-01-17 12:36:01.056
409,574,622,561,583,61,732,741,330,2022-01-17 12:36:01.168
409,577,624,561,581,63,731,739,325,2022-01-17 12:36:01.279
410,578,624,561,581,63,728,739,325,2022-01-17 12:36:01.390
409,576,622,560,584,61,723,740,330,2022-01-17 12:36:01.502
411,579,620,559,582,61,719,738,330,2022-01-17 12:36:01.614
410,579,624,561,583,62,721,739,327,2022-01-17 12:36:01.726
409,576,622,562,586,62,719,740,330,2022-01-17 12:36:01.837
410,580,624,561,583,63,718,728,327,2022-01-17 12:36:01.949
409,579,625,561,585,62,719,737,327,2022-01-17 12:36:02.060
409,579,625,562,585,63,717,733,326,2022-01-17 12:36:02.172
412,581,620,558,584,61,714,729,330,2022-01-17 12:36:02.284
411,583,620,558,583,61,714,734,329,2022-01-17 12:36:02.396
411,582,620,558,585,61,716,736,330,2022-01-17 12:36:02.508
410,583,624,561,585,63,721,734,327,2022-01-17 12:36:02.619
410,583,625,561,586,62,723,731,325,2022-01-17 12:36:02.731
409,583,625,561,586,62,725,734,327,2022-01-17 12:36:02.842
412,584,621,558,584,61,722,735,331,2022-01-17 12:36:02.954
412,584,622,558,586,61,724,733,330,2022-01-17 12:36:03.066
412,585,620,558,585,61,726,732,330,2022-01-17 12:36:03.177
409,582,626,562,589,62,733,735,328,2022-01-17 12:36:03.289
409,584,626,562,589,62,733,735,330,2022-01-17 12:36:03.401
411,585,625,560,586,63,736,744,327,2022-01-17 12:36:03.512
409,584,627,562,589,63,741,719,330,2022-01-17 12:36:03.624
412,585,622,559,588,61,737,735,330,2022-01-17 12:36:03.736
409,584,626,561,590,62,741,733,330,2022-01-17 12:36:03.848
414,588,622,558,586,61,742,734,330,2022-01-17 12:36:03.960
411,587,626,561,589,62,748,730,327,2022-01-17 12:36:04.071
412,588,622,558,588,61,746,735,331,2022-01-17 12:36:04.183
412,589,625,559,588,62,750,738,329,2022-01-17 12:36:04.294
414,589,622,557,587,61,750,730,333,2022-01-17 12:36:04.405
414,590,622,557,587,61,750,736,337,2022-01-17 12:36:04.518
414,590,621,557,588,61,754,734,329,2022-01-17 12:36:04.630
412,588,622,559,591,61,756,740,318,2022-01-17 12:36:04.741
414,591,620,556,588,61,755,730,331,2022-01-17 12:36:04.853
414,592,621,557,588,61,760,728,333,2022-01-17 12:36:04.965
414,592,620,557,588,61,762,731,327,2022-01-17 12:36:05.076
414,593,621,558,589,62,764,744,336,2022-01-17 12:36:05.188
411,590,624,560,592,62,768,749,333,2022-01-17 12:36:05.299
414,592,619,556,590,61,766,744,332,2022-01-17 12:36:05.411
413,591,622,559,591,63,771,746,337,2022-01-17 12:36:05.523
412,589,623,560,593,62,773,749,333,2022-01-17 12:36:05.635
411,590,622,559,593,61,773,749,334,2022-01-17 12:36:05.746
414,593,619,557,590,61,771,740,337,2022-01-17 12:36:05.857
416,593,618,557,591,61,774,747,338,2022-01-17 12:36:05.970
414,592,621,559,592,63,778,752,333,2022-01-17 12:36:06.081
414,593,620,559,591,63,778,750,335,2022-01-17 12:36:06.193
412,589,622,561,595,62,781,753,334,2022-01-17 12:36:06.305
416,593,618,557,591,61,778,747,329,2022-01-17 12:36:06.416
413,591,622,561,595,62,785,752,329,2022-01-17 12:36:06.528
412,590,622,561,593,62,784,753,327,2022-01-17 12:36:06.640
416,592,618,557,592,61,782,750,329,2022-01-17 12:36:06.751
413,589,622,561,596,62,785,753,328,2022-01-17 12:36:06.863
413,589,622,561,596,62,785,753,330,2022-01-17 12:36:06.975
414,591,619,559,594,61,786,749,331,2022-01-17 12:36:07.086
416,593,619,557,592,61,786,747,331,2022-01-17 12:36:07.198
414,592,623,559,593,63,790,746,325,2022-01-17 12:36:07.310
413,590,624,561,597,62,791,743,328,2022-01-17 12:36:07.422
414,591,625,560,595,63,792,744,329,2022-01-17 12:36:07.533
413,588,623,561,597,62,791,745,331,2022-01-17 12:36:07.645
416,593,621,557,593,61,792,742,329,2022-01-17 12:36:07.757
416,591,620,558,594,61,792,740,330,2022-01-17 12:36:07.868
416,592,623,558,593,62,794,739,327,2022-01-17 12:36:07.980
416,592,620,557,594,61,792,740,331,2022-01-17 12:36:08.091
415,591,624,561,595,63,797,746,329,2022-01-17 12:36:08.203
416,592,621,557,592,61,794,746,332,2022-01-17 12:36:08.315
414,589,625,561,597,63,797,741,328,2022-01-17 12:36:08.426
416,590,620,558,594,61,794,736,330,2022-01-17 12:36:08.538
416,591,624,559,595,63,797,742,327,2022-01-17 12:36:08.650
418,591,621,557,593,61,794,738,332,2022-01-17 12:36:08.762
413,587,624,561,598,62,799,741,331,2022-01-17 12:36:08.877
416,588,622,559,596,61,796,739,324,2022-01-17 12:36:08.985
415,587,622,559,598,61,797,741,332,2022-01-17 12:36:09.096
418,591,621,558,594,61,798,739,329,2022-01-17 12:36:09.209
415,586,625,561,598,62,799,741,330,2022-01-17 12:36:09.320
415,588,625,561,597,63,801,739,329,2022-01-17 12:36:09.432
418,589,620,558,594,61,800,739,329,2022-01-17 12:36:09.543
415,588,625,561,597,62,804,744,327,2022-01-17 12:36:09.655
417,589,621,560,595,63,802,742,327,2022-01-17 12:36:09.767
415,585,623,561,598,62,803,748,330,2022-01-17 12:36:09.878
418,589,621,558,595,61,802,742,331,2022-01-17 12:36:09.990
417,587,624,561,597,63,805,746,329,2022-01-17 12:36:10.102
418,588,619,558,596,61,802,744,332,2022-01-17 12:36:10.214
418,586,620,558,596,61,802,742,331,2022-01-17 12:36:10.325
418,588,623,558,596,63,806,742,329,2022-01-17 12:36:10.437
415,584,624,562,599,62,809,743,329,2022-01-17 12:36:10.549
416,584,623,561,599,61,807,737,330,2022-01-17 12:36:10.660
418,587,621,559,595,63,808,739,325,2022-01-17 12:36:10.773
418,586,621,558,595,63,808,744,337,2022-01-17 12:36:10.883
422,595,621,559,596,63,808,750,333,2022-01-17 12:36:10.995
419,584,618,558,597,61,808,750,344,2022-01-17 12:36:11.107
419,585,620,557,595,61,808,750,329,2022-01-17 12:36:11.219
419,585,621,559,595,63,810,747,317,2022-01-17 12:36:11.330
421,585,620,557,595,61,808,746,337,2022-01-17 12:36:11.442
420,583,619,557,598,61,808,742,339,2022-01-17 12:36:11.554
417,580,622,559,600,62,809,745,319,2022-01-17 12:36:11.665
417,581,624,560,599,62,813,743,325,2022-01-17 12:36:11.777
417,581,623,561,599,62,813,733,314,2022-01-17 12:36:11.889
417,580,624,560,599,62,813,751,329,2022-01-17 12:36:12.001
417,580,623,560,599,62,813,752,328,2022-01-17 12:36:12.112
419,581,623,560,599,62,813,739,327,2022-01-17 12:36:12.224
418,581,622,559,599,63,815,740,329,2022-01-17 12:36:12.335
420,580,618,558,599,61,810,740,331,2022-01-17 12:36:12.447
420,581,618,556,598,61,811,741,330,2022-01-17 12:36:12.559
420,580,618,556,598,61,810,744,330,2022-01-17 12:36:12.670
419,578,622,559,599,62,817,741,326,2022-01-17 12:36:12.782
419,578,622,559,601,62,813,741,328,2022-01-17 12:36:12.894
421,581,621,557,597,63,814,736,325,2022-01-17 12:36:13.006
419,577,623,559,599,62,817,743,327,2022-01-17 12:36:13.118
422,581,620,555,597,63,814,742,327,2022-01-17 12:36:13.229
419,577,622,558,601,63,817,743,326,2022-01-17 12:36:13.341
419,576,622,558,601,62,813,741,328,2022-01-17 12:36:13.453
419,576,620,558,601,62,813,743,328,2022-01-17 12:36:13.564
420,577,622,557,599,63,813,743,326,2022-01-17 12:36:13.676
419,575,622,558,601,62,813,741,328,2022-01-17 12:36:13.788
421,577,618,555,600,61,810,733,330,2022-01-17 12:36:13.900
423,579,617,553,597,61,810,738,329,2022-01-17 12:36:14.011
420,575,622,557,601,62,813,743,326,2022-01-17 12:36:14.123
419,575,622,557,601,62,812,743,328,2022-01-17 12:36:14.234
420,574,622,556,602,63,807,740,328,2022-01-17 12:36:14.346
422,579,620,554,597,63,806,738,327,2022-01-17 12:36:14.458
421,577,621,556,599,63,806,742,327,2022-01-17 12:36:14.569
420,575,622,556,600,62,804,742,327,2022-01-17 12:36:14.681
424,578,618,552,596,61,795,734,329,2022-01-17 12:36:14.793
422,577,621,553,598,63,796,742,325,2022-01-17 12:36:14.904
423,576,618,552,600,61,788,738,330,2022-01-17 12:36:15.016
424,577,618,552,597,61,786,740,327,2022-01-17 12:36:15.128
422,576,621,553,599,63,785,742,325,2022-01-17 12:36:15.239
421,574,623,555,601,62,781,747,327,2022-01-17 12:36:15.351
