MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
283,131,266,232,146,63,367,367,341,2022-01-17 12:46:07.475
286,134,263,229,145,61,365,366,338,2022-01-17 12:46:07.584
281,129,263,229,143,61,366,370,340,2022-01-17 12:46:07.693
286,134,264,229,145,64,364,367,349,2022-01-17 12:46:07.803
283,132,266,232,146,66,367,367,331,2022-01-17 12:46:07.912
283,136,266,230,145,63,365,365,333,2022-01-17 12:46:08.023
279,129,263,231,144,62,366,368,338,2022-01-17 12:46:08.132
281,131,264,234,146,63,368,368,336,2022-01-17 12:46:08.242
279,132,263,230,146,63,367,368,334,2022-01-17 12:46:08.351
279,132,263,231,143,62,366,368,338,2022-01-17 12:46:08.460
283,136,266,232,145,63,365,365,337,2022-01-17 12:46:08.572
279,132,263,232,146,62,367,368,338,2022-01-17 12:46:08.682
283,134,264,229,145,61,365,365,344,2022-01-17 12:46:08.793
283,132,263,229,145,61,365,366,334,2022-01-17 12:46:08.904
282,136,264,232,145,63,367,365,333,2022-01-17 12:46:09.014
283,134,264,231,145,61,365,365,337,2022-01-17 12:46:09.125
282,134,264,232,146,63,367,366,333,2022-01-17 12:46:09.235
283,131,261,229,145,61,365,367,342,2022-01-17 12:46:09.346
283,136,264,231,145,61,365,365,332,2022-01-17 12:46:09.457
279,129,263,230,146,63,370,368,334,2022-01-17 12:46:09.567
281,132,261,231,144,62,366,368,335,2022-01-17 12:46:09.678
281,131,264,232,146,63,368,369,329,2022-01-17 12:46:09.789
279,129,261,229,144,62,366,368,334,2022-01-17 12:46:09.899
283,134,263,229,145,61,364,365,337,2022-01-17 12:46:10.010
282,136,264,232,145,63,365,365,336,2022-01-17 12:46:10.121
281,132,261,229,144,61,365,366,334,2022-01-17 12:46:10.231
279,132,263,232,146,62,367,368,328,2022-01-17 12:46:10.342
282,134,264,234,146,63,367,365,327,2022-01-17 12:46:10.453
282,136,264,232,145,61,365,365,329,2022-01-17 12:46:10.563
279,132,263,234,146,66,368,367,327,2022-01-17 12:46:10.674
280,131,264,234,146,64,367,365,327,2022-01-17 12:46:10.784
277,132,263,233,143,62,367,367,328,2022-01-17 12:46:10.896
279,133,261,231,144,61,365,366,330,2022-01-17 12:46:11.006
280,134,264,234,146,64,367,365,327,2022-01-17 12:46:11.116
282,136,264,234,145,64,365,365,327,2022-01-17 12:46:11.227
282,136,264,234,145,63,365,365,327,2022-01-17 12:46:11.338
282,134,264,231,145,64,365,365,327,2022-01-17 12:46:11.449
282,136,264,234,145,61,365,365,327,2022-01-17 12:46:11.559
277,132,261,235,144,62,366,367,328,2022-01-17 12:46:11.670
282,136,264,235,145,63,365,365,325,2022-01-17 12:46:11.780
277,132,263,234,146,63,367,367,326,2022-01-17 12:46:11.891
282,134,263,233,145,61,365,365,329,2022-01-17 12:46:12.002
282,133,261,229,145,61,364,365,334,2022-01-17 12:46:12.112
277,132,264,234,146,63,367,366,329,2022-01-17 12:46:12.223
281,132,261,233,145,61,365,366,333,2022-01-17 12:46:12.333
279,132,261,233,141,61,366,366,342,2022-01-17 12:46:12.444
278,132,264,234,146,63,367,365,341,2022-01-17 12:46:12.555
280,134,264,234,146,66,367,365,331,2022-01-17 12:46:12.665
277,129,262,234,146,62,367,367,326,2022-01-17 12:46:12.776
279,131,264,234,146,63,367,366,327,2022-01-17 12:46:12.887
279,132,261,236,144,62,365,366,330,2022-01-17 12:46:12.997
282,134,262,233,145,64,364,364,332,2022-01-17 12:46:13.108
282,134,264,235,146,64,366,365,327,2022-01-17 12:46:13.219
282,132,263,233,145,61,365,365,330,2022-01-17 12:46:13.329
282,136,264,238,146,63,366,364,329,2022-01-17 12:46:13.440
282,136,264,239,146,63,365,364,325,2022-01-17 12:46:13.551
277,129,261,237,144,62,366,367,328,2022-01-17 12:46:13.661
280,132,261,237,145,61,364,365,328,2022-01-17 12:46:13.772
280,134,264,239,146,63,365,364,325,2022-01-17 12:46:13.883
277,131,263,238,146,63,367,366,324,2022-01-17 12:46:13.993
277,132,262,236,146,62,367,366,327,2022-01-17 12:46:14.104
282,136,264,238,146,64,365,364,325,2022-01-17 12:46:14.214
277,131,262,239,146,63,367,366,327,2022-01-17 12:46:14.325
279,132,261,237,144,62,366,366,328,2022-01-17 12:46:14.436
279,131,263,238,146,63,367,366,325,2022-01-17 12:46:14.546
279,129,261,237,145,61,365,366,330,2022-01-17 12:46:14.657
277,129,261,234,144,63,367,366,329,2022-01-17 12:46:14.768
282,134,262,235,145,61,364,364,329,2022-01-17 12:46:14.878
280,134,263,233,145,61,364,364,329,2022-01-17 12:46:14.988
277,132,261,233,143,63,366,366,334,2022-01-17 12:46:15.100
282,134,264,234,146,63,365,364,337,2022-01-17 12:46:15.210
280,134,264,235,146,63,365,364,325,2022-01-17 12:46:15.321
279,132,261,233,145,61,366,366,326,2022-01-17 12:46:15.431
282,134,264,234,145,61,364,364,329,2022-01-17 12:46:15.542
280,132,263,233,145,61,364,364,324,2022-01-17 12:46:15.653
280,134,264,234,146,63,365,364,321,2022-01-17 12:46:15.763
277,131,263,234,146,62,367,366,323,2022-01-17 12:46:15.874
278,133,261,231,144,61,364,366,328,2022-01-17 12:46:15.985
280,136,262,235,145,64,364,363,329,2022-01-17 12:46:16.096
278,131,264,234,146,66,366,364,335,2022-01-17 12:46:16.206
282,134,264,234,145,61,363,363,334,2022-01-17 12:46:16.317
282,136,264,234,146,64,365,364,325,2022-01-17 12:46:16.427
277,132,263,234,146,62,367,366,330,2022-01-17 12:46:16.538
280,132,263,229,145,61,363,364,327,2022-01-17 12:46:16.649
278,133,261,231,145,61,363,364,328,2022-01-17 12:46:16.759
278,134,264,234,146,63,365,364,325,2022-01-17 12:46:16.870
280,134,264,233,145,61,364,363,327,2022-01-17 12:46:16.980
