MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
208,133,284,248,166,74,378,379,307,2022-01-17 14:02:53.496
210,138,283,247,165,71,375,377,307,2022-01-17 14:02:53.605
208,133,294,248,166,74,378,379,306,2022-01-17 14:02:53.715
208,133,277,247,164,74,378,379,307,2022-01-17 14:02:53.825
208,133,293,247,164,72,378,379,307,2022-01-17 14:02:53.935
210,138,282,250,168,74,377,377,305,2022-01-17 14:02:54.044
207,135,291,250,168,74,378,378,305,2022-01-17 14:02:54.154
210,138,280,249,165,69,375,376,308,2022-01-17 14:02:54.264
210,138,290,250,166,73,377,375,305,2022-01-17 14:02:54.373
210,138,283,250,165,73,377,375,305,2022-01-17 14:02:54.483
209,133,287,247,165,69,375,378,307,2022-01-17 14:02:54.593
210,138,286,248,164,71,375,375,305,2022-01-17 14:02:54.704
208,133,287,248,163,74,378,374,304,2022-01-17 14:02:54.814
210,138,290,250,166,74,377,377,305,2022-01-17 14:02:54.925
208,133,285,248,162,74,378,379,306,2022-01-17 14:02:55.036
208,133,289,248,166,74,378,379,306,2022-01-17 14:02:55.147
210,138,287,247,164,69,373,375,307,2022-01-17 14:02:55.257
208,135,290,250,166,74,378,378,306,2022-01-17 14:02:55.368
210,138,286,248,165,69,375,376,307,2022-01-17 14:02:55.479
209,133,289,247,164,74,378,379,306,2022-01-17 14:02:55.589
210,138,288,248,165,73,375,375,305,2022-01-17 14:02:55.699
211,138,291,247,165,69,373,376,307,2022-01-17 14:02:55.810
210,138,288,250,166,74,377,377,305,2022-01-17 14:02:55.921
209,135,291,250,168,74,378,378,305,2022-01-17 14:02:56.031
209,117,285,245,157,64,379,380,306,2022-01-17 14:02:56.142
208,133,289,248,163,74,378,379,306,2022-01-17 14:02:56.254
209,133,287,247,165,71,375,378,307,2022-01-17 14:02:56.364
209,135,290,250,168,74,378,379,306,2022-01-17 14:02:56.474
209,133,287,247,165,71,375,378,307,2022-01-17 14:02:56.585
211,138,290,248,165,71,373,375,307,2022-01-17 14:02:56.695
209,133,287,247,164,74,376,379,306,2022-01-17 14:02:56.807
210,135,285,245,165,71,375,378,307,2022-01-17 14:02:56.917
210,138,290,248,165,71,373,375,305,2022-01-17 14:02:57.027
210,135,289,247,164,71,374,378,307,2022-01-17 14:02:57.138
210,138,291,248,165,69,375,375,307,2022-01-17 14:02:57.249
