MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
216,136,239,242,155,53,427,272,259,2022-01-22 17:22:05.374
213,129,173,241,153,53,428,274,259,2022-01-22 17:22:05.484
214,132,221,241,151,53,427,272,262,2022-01-22 17:22:05.593
213,132,165,242,154,56,430,274,259,2022-01-22 17:22:05.702
216,136,211,242,154,55,427,272,260,2022-01-22 17:22:05.811
214,134,168,242,155,56,427,273,257,2022-01-22 17:22:05.922
212,131,206,242,154,56,427,273,257,2022-01-22 17:22:06.031
212,129,167,242,154,58,430,274,259,2022-01-22 17:22:06.141
214,131,200,242,155,55,426,272,260,2022-01-22 17:22:06.250
212,125,165,241,149,45,435,274,262,2022-01-22 17:22:06.360
213,131,194,242,154,58,430,274,259,2022-01-22 17:22:06.471
216,136,163,242,153,53,426,269,260,2022-01-22 17:22:06.581
216,133,203,241,151,53,426,272,260,2022-01-22 17:22:06.692
214,132,149,241,153,53,427,272,262,2022-01-22 17:22:06.803
216,134,214,242,155,55,427,272,260,2022-01-22 17:22:06.913
213,132,152,242,155,58,429,274,259,2022-01-22 17:22:07.025
216,134,210,241,151,53,426,272,260,2022-01-22 17:22:07.135
213,132,156,242,154,56,430,274,259,2022-01-22 17:22:07.246
213,129,199,241,152,54,429,274,259,2022-01-22 17:22:07.356
213,134,168,242,154,56,428,273,257,2022-01-22 17:22:07.467
213,132,190,242,154,58,428,273,259,2022-01-22 17:22:07.578
212,131,182,242,154,56,428,274,259,2022-01-22 17:22:07.688
216,134,173,241,153,53,425,272,261,2022-01-22 17:22:07.799
214,134,194,242,154,56,428,273,257,2022-01-22 17:22:07.909
213,127,161,241,154,56,430,274,259,2022-01-22 17:22:08.020
214,134,206,242,154,55,427,273,257,2022-01-22 17:22:08.131
214,134,152,242,155,55,427,273,257,2022-01-22 17:22:08.241
213,132,210,242,154,58,430,275,259,2022-01-22 17:22:08.352
216,136,152,242,153,53,426,272,260,2022-01-22 17:22:08.463
212,132,208,241,154,54,430,274,262,2022-01-22 17:22:08.574
213,131,157,241,153,53,428,274,262,2022-01-22 17:22:08.684
214,129,197,241,153,53,427,272,260,2022-01-22 17:22:08.795
213,132,170,242,155,58,429,274,257,2022-01-22 17:22:08.905
216,133,183,241,153,53,427,271,260,2022-01-22 17:22:09.016
216,133,181,241,153,53,425,272,260,2022-01-22 17:22:09.127
213,131,168,242,154,58,430,274,259,2022-01-22 17:22:09.238
216,134,195,242,153,53,425,271,260,2022-01-22 17:22:09.348
213,132,157,241,153,53,428,274,262,2022-01-22 17:22:09.459
213,131,206,242,154,56,429,275,259,2022-01-22 17:22:09.570
