MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
170,162,314,98,128,67,265,141,317,2022-01-30 22:08:33.576
171,162,312,97,125,65,263,140,320,2022-01-30 22:08:33.715
170,162,314,98,128,67,265,140,317,2022-01-30 22:08:33.852
167,159,311,95,125,66,266,142,319,2022-01-30 22:08:33.988
168,161,314,98,128,70,267,141,317,2022-01-30 22:08:34.125
167,159,311,95,126,66,266,142,320,2022-01-30 22:08:34.261
170,162,311,95,125,64,263,138,320,2022-01-30 22:08:34.398
170,163,312,98,128,65,265,140,317,2022-01-30 22:08:34.535
167,159,311,93,125,66,266,142,320,2022-01-30 22:08:34.672
170,163,311,95,125,65,263,138,320,2022-01-30 22:08:34.809
167,159,313,96,126,66,266,142,318,2022-01-30 22:08:34.947
170,161,311,95,125,64,263,138,320,2022-01-30 22:08:35.085
167,162,314,98,128,67,265,141,317,2022-01-30 22:08:35.223
167,159,313,89,117,71,262,139,322,2022-01-30 22:08:35.360
169,161,311,95,125,65,263,139,320,2022-01-30 22:08:35.497
170,163,313,98,128,65,263,140,317,2022-01-30 22:08:35.636
168,162,314,98,128,67,265,141,317,2022-01-30 22:08:35.773
167,159,311,95,125,66,264,139,319,2022-01-30 22:08:35.911
170,163,312,97,125,65,261,137,320,2022-01-30 22:08:36.048
168,162,312,98,128,66,264,141,317,2022-01-30 22:08:36.186
170,161,311,95,125,65,261,139,322,2022-01-30 22:08:36.324
170,162,314,98,126,68,261,141,317,2022-01-30 22:08:36.461
170,163,312,97,125,65,261,137,320,2022-01-30 22:08:36.599
167,161,314,98,128,67,264,142,317,2022-01-30 22:08:36.736
170,163,312,97,125,65,261,137,320,2022-01-30 22:08:36.874
167,159,311,95,125,66,262,142,319,2022-01-30 22:08:37.012
169,161,311,93,125,65,262,142,320,2022-01-30 22:08:37.150
167,159,311,95,125,66,262,142,319,2022-01-30 22:08:37.287
168,162,314,98,126,68,261,141,317,2022-01-30 22:08:37.424
167,161,312,96,128,67,264,143,317,2022-01-30 22:08:37.562
165,161,312,96,126,67,262,142,318,2022-01-30 22:08:37.700
170,163,312,98,125,68,257,140,320,2022-01-30 22:08:37.837
170,163,312,98,128,65,257,141,319,2022-01-30 22:08:37.975
167,161,312,98,128,67,262,142,318,2022-01-30 22:08:38.113
169,159,311,93,125,65,259,142,320,2022-01-30 22:08:38.251
167,163,314,98,128,67,262,141,317,2022-01-30 22:08:38.388
170,163,312,98,127,65,257,140,319,2022-01-30 22:08:38.525
170,161,311,95,124,65,257,139,322,2022-01-30 22:08:38.664
167,161,313,95,125,66,255,142,320,2022-01-30 22:08:38.801
167,159,311,93,125,66,256,142,314,2022-01-30 22:08:38.938
167,159,313,95,124,66,251,142,319,2022-01-30 22:08:39.076
167,159,313,95,126,66,258,142,319,2022-01-30 22:08:39.214
170,162,312,97,125,65,256,137,320,2022-01-30 22:08:39.352
170,163,314,98,128,67,249,141,320,2022-01-30 22:08:39.489
165,161,313,96,126,66,243,142,318,2022-01-30 22:08:39.627
170,161,311,95,125,65,256,138,320,2022-01-30 22:08:39.764
168,162,314,98,128,67,251,141,317,2022-01-30 22:08:39.902
170,161,311,93,125,65,246,138,320,2022-01-30 22:08:40.039
167,162,313,98,130,66,250,142,317,2022-01-30 22:08:40.178
167,162,314,98,128,67,251,141,317,2022-01-30 22:08:40.314
167,161,313,96,128,67,254,142,318,2022-01-30 22:08:40.452
170,163,312,97,125,65,249,137,320,2022-01-30 22:08:40.590
167,161,314,98,128,66,266,141,317,2022-01-30 22:08:40.727
170,163,312,97,125,65,245,137,320,2022-01-30 22:08:40.865
170,163,312,98,127,65,247,137,320,2022-01-30 22:08:41.003
170,162,314,98,128,68,249,141,317,2022-01-30 22:08:41.141
170,163,314,98,128,66,252,141,317,2022-01-30 22:08:41.278
170,161,313,93,125,65,262,139,320,2022-01-30 22:08:41.415
167,161,313,96,128,66,270,142,318,2022-01-30 22:08:41.554
167,159,313,95,125,66,268,142,319,2022-01-30 22:08:41.691
168,162,314,98,128,67,269,141,317,2022-01-30 22:08:41.829
169,159,311,95,125,65,267,138,320,2022-01-30 22:08:41.967
170,162,314,98,128,67,267,140,317,2022-01-30 22:08:42.104
167,159,311,95,125,66,266,142,322,2022-01-30 22:08:42.242
167,161,313,98,128,67,270,142,318,2022-01-30 22:08:42.379
168,162,314,93,128,65,265,140,319,2022-01-30 22:08:42.517
167,159,313,93,125,66,267,142,318,2022-01-30 22:08:42.655
165,157,313,95,126,66,267,142,318,2022-01-30 22:08:42.792
170,162,313,97,125,68,263,137,320,2022-01-30 22:08:42.930
165,159,313,96,126,66,266,142,318,2022-01-30 22:08:43.067
168,163,314,98,128,68,265,140,317,2022-01-30 22:08:43.205
170,163,312,97,125,65,263,137,320,2022-01-30 22:08:43.343
168,162,314,98,128,67,265,141,317,2022-01-30 22:08:43.480
170,163,312,98,127,65,263,141,319,2022-01-30 22:08:43.619
168,162,314,98,128,67,265,141,317,2022-01-30 22:08:43.758
