MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
311,135,176,127,178,38,382,250,336,2022-01-24 12:33:03.288
312,138,162,130,179,42,381,247,333,2022-01-24 12:33:03.399
312,137,179,127,177,37,373,247,337,2022-01-24 12:33:03.510
314,138,154,130,180,39,377,247,335,2022-01-24 12:33:03.613
312,138,178,130,179,42,384,250,333,2022-01-24 12:33:03.730
314,138,152,128,179,39,383,247,333,2022-01-24 12:33:03.831
309,135,173,127,177,37,383,248,336,2022-01-24 12:33:03.947
312,137,148,127,180,37,381,247,336,2022-01-24 12:33:04.049
311,136,174,130,179,42,385,250,334,2022-01-24 12:33:04.163
309,135,149,127,178,38,384,250,336,2022-01-24 12:33:04.279
309,135,173,127,179,40,384,250,335,2022-01-24 12:33:04.379
312,138,152,130,179,42,384,250,333,2022-01-24 12:33:04.495
309,133,173,125,179,37,382,250,336,2022-01-24 12:33:04.612
312,137,149,127,177,37,379,247,336,2022-01-24 12:33:04.712
309,135,169,125,177,37,377,249,336,2022-01-24 12:33:04.831
314,138,154,130,179,40,380,249,333,2022-01-24 12:33:04.933
312,138,166,130,179,40,382,249,333,2022-01-24 12:33:05.049
312,138,158,130,179,40,384,249,333,2022-01-24 12:33:05.165
312,137,159,127,177,37,381,247,335,2022-01-24 12:33:05.267
314,138,162,128,179,39,381,247,333,2022-01-24 12:33:05.380
309,135,149,123,176,32,390,250,338,2022-01-24 12:33:05.497
312,138,166,127,177,37,381,247,336,2022-01-24 12:33:05.596
314,138,148,128,179,37,381,247,335,2022-01-24 12:33:05.717
310,136,170,128,179,42,384,250,334,2022-01-24 12:33:05.828
311,135,145,125,177,37,382,248,336,2022-01-24 12:33:05.934
314,138,170,130,179,39,383,247,333,2022-01-24 12:33:06.035
314,138,146,128,179,37,381,247,335,2022-01-24 12:33:06.151
312,138,170,130,182,42,384,250,333,2022-01-24 12:33:06.267
314,138,147,130,179,40,381,249,333,2022-01-24 12:33:06.367
311,135,159,125,177,37,381,247,336,2022-01-24 12:33:06.483
314,138,146,130,178,40,383,249,333,2022-01-24 12:33:06.596
312,138,154,130,179,40,384,249,333,2022-01-24 12:33:06.708
312,137,155,127,177,37,381,247,335,2022-01-24 12:33:06.824
309,135,151,125,179,38,382,250,335,2022-01-24 12:33:06.924
312,137,159,127,177,37,380,247,335,2022-01-24 12:33:07.040
309,133,145,127,179,38,382,250,335,2022-01-24 12:33:07.156
312,138,168,130,179,40,381,249,333,2022-01-24 12:33:07.262
309,133,149,127,179,38,382,250,335,2022-01-24 12:33:07.372
313,138,174,130,179,42,382,249,333,2022-01-24 12:33:07.489
311,136,150,128,179,40,380,250,334,2022-01-24 12:33:07.587
314,138,171,128,179,37,375,247,333,2022-01-24 12:33:07.709
312,137,150,130,179,42,382,250,333,2022-01-24 12:33:07.809
311,135,164,125,177,37,375,248,336,2022-01-24 12:33:07.925
309,133,148,125,177,37,378,250,336,2022-01-24 12:33:08.041
309,135,148,128,179,40,384,250,334,2022-01-24 12:33:08.142
311,135,149,127,179,42,384,250,335,2022-01-24 12:33:08.257
312,138,146,128,179,37,383,247,333,2022-01-24 12:33:08.373
313,138,160,130,179,42,384,249,333,2022-01-24 12:33:08.473
309,135,147,128,179,40,384,250,334,2022-01-24 12:33:08.588
311,135,161,125,177,37,382,249,336,2022-01-24 12:33:08.704
311,135,141,127,179,40,385,250,334,2022-01-24 12:33:08.810
311,137,163,127,177,37,383,247,336,2022-01-24 12:33:08.927
314,138,146,130,179,39,384,247,333,2022-01-24 12:33:09.026
312,136,165,125,180,37,381,247,336,2022-01-24 12:33:09.142
309,133,141,127,179,38,383,250,335,2022-01-24 12:33:09.257
311,136,160,128,179,42,384,250,334,2022-01-24 12:33:09.358
