MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
223,125,241,119,177,27,372,330,310,2022-01-17 14:29:57.196
226,130,243,121,176,29,371,327,308,2022-01-17 14:29:57.306
225,127,241,117,177,28,370,329,308,2022-01-17 14:29:57.416
223,127,241,121,178,30,372,331,307,2022-01-17 14:29:57.526
225,129,241,119,177,29,369,329,308,2022-01-17 14:29:57.635
223,127,243,121,178,30,372,331,307,2022-01-17 14:29:57.745
225,127,241,119,173,28,369,330,310,2022-01-17 14:29:57.854
223,129,243,122,178,32,374,331,307,2022-01-17 14:29:57.964
226,130,243,122,178,32,371,331,305,2022-01-17 14:29:58.073
221,128,243,120,178,32,370,332,306,2022-01-17 14:29:58.184
221,127,243,119,177,30,370,331,307,2022-01-17 14:29:58.294
221,127,241,117,177,28,368,330,310,2022-01-17 14:29:58.405
222,130,243,122,178,32,370,332,305,2022-01-17 14:29:58.515
217,127,241,117,176,28,366,330,310,2022-01-17 14:29:58.626
220,130,243,122,178,32,369,331,306,2022-01-17 14:29:58.737
220,130,242,122,178,32,368,332,306,2022-01-17 14:29:58.848
221,127,243,118,175,32,367,331,307,2022-01-17 14:29:58.959
217,127,241,117,176,25,365,330,310,2022-01-17 14:29:59.069
217,129,241,117,176,28,364,329,308,2022-01-17 14:29:59.179
221,130,241,117,176,29,364,327,308,2022-01-17 14:29:59.290
220,127,241,117,176,27,364,330,308,2022-01-17 14:29:59.401
224,130,243,119,176,29,364,327,308,2022-01-17 14:29:59.512
219,130,243,122,175,32,366,330,305,2022-01-17 14:29:59.622
220,129,243,118,178,32,366,332,307,2022-01-17 14:29:59.733
222,130,243,119,175,29,361,327,308,2022-01-17 14:29:59.843
221,127,241,117,173,28,363,330,310,2022-01-17 14:29:59.954
222,130,243,118,175,32,365,331,306,2022-01-17 14:30:00.064
224,130,242,120,176,29,361,327,308,2022-01-17 14:30:00.175
221,129,243,118,175,32,364,330,306,2022-01-17 14:30:00.286
224,130,243,119,175,29,361,327,308,2022-01-17 14:30:00.396
224,130,242,118,175,16,364,329,305,2022-01-17 14:30:00.507
221,129,242,120,174,30,363,330,307,2022-01-17 14:30:00.618
221,127,241,116,174,30,362,330,308,2022-01-17 14:30:00.728
222,130,242,120,174,32,362,329,307,2022-01-17 14:30:00.840
221,127,241,117,173,27,360,328,310,2022-01-17 14:30:00.950
221,130,243,120,174,32,362,329,307,2022-01-17 14:30:01.061
221,129,242,120,174,32,362,330,308,2022-01-17 14:30:01.172
221,127,241,116,172,27,360,328,310,2022-01-17 14:30:01.282
217,125,241,116,172,27,359,328,310,2022-01-17 14:30:01.393
222,127,241,117,172,28,357,326,309,2022-01-17 14:30:01.503
220,130,242,118,174,32,360,329,307,2022-01-17 14:30:01.614
220,127,241,116,171,28,360,328,310,2022-01-17 14:30:01.725
219,130,241,117,172,29,356,325,309,2022-01-17 14:30:01.835
226,130,242,117,173,29,357,325,308,2022-01-17 14:30:01.946
223,127,241,117,172,28,356,325,310,2022-01-17 14:30:02.056
224,130,241,117,172,29,356,324,309,2022-01-17 14:30:02.167
221,125,240,116,171,30,358,328,307,2022-01-17 14:30:02.278
221,125,237,116,169,27,358,326,310,2022-01-17 14:30:02.388
222,128,239,118,171,32,360,327,307,2022-01-17 14:30:02.500
221,125,240,116,169,28,356,326,310,2022-01-17 14:30:02.610
222,129,237,116,167,29,356,323,309,2022-01-17 14:30:02.720
224,130,239,116,169,29,357,324,307,2022-01-17 14:30:02.831
221,125,237,113,169,30,358,326,310,2022-01-17 14:30:02.942
220,125,237,113,169,26,356,326,310,2022-01-17 14:30:03.052
222,130,238,115,170,32,358,326,306,2022-01-17 14:30:03.163
212,121,237,110,166,22,360,326,312,2022-01-17 14:30:03.273
220,127,237,116,165,29,353,322,309,2022-01-17 14:30:03.384
222,130,238,115,169,29,355,323,308,2022-01-17 14:30:03.494
219,130,238,114,170,32,358,325,307,2022-01-17 14:30:03.605
222,130,238,115,170,29,356,324,305,2022-01-17 14:30:03.716
217,125,237,114,170,30,358,326,307,2022-01-17 14:30:03.827
221,127,237,116,165,29,353,322,310,2022-01-17 14:30:03.937
222,130,238,115,167,29,355,321,308,2022-01-17 14:30:04.048
223,127,237,116,165,29,353,321,308,2022-01-17 14:30:04.159
224,130,238,114,170,32,357,324,307,2022-01-17 14:30:04.270
226,130,238,115,168,29,355,321,308,2022-01-17 14:30:04.379
222,128,238,114,170,32,358,324,306,2022-01-17 14:30:04.491
224,128,238,115,168,29,354,321,305,2022-01-17 14:30:04.601
221,127,237,114,168,32,356,323,307,2022-01-17 14:30:04.712
221,125,237,113,165,28,354,322,307,2022-01-17 14:30:04.823
223,128,238,114,168,32,355,324,307,2022-01-17 14:30:04.933
221,125,236,114,166,30,355,323,307,2022-01-17 14:30:05.044
221,125,236,114,166,30,355,323,307,2022-01-17 14:30:05.154
226,130,235,114,166,29,354,321,305,2022-01-17 14:30:05.265
224,130,238,114,166,30,354,321,305,2022-01-17 14:30:05.376
222,130,235,114,168,32,355,323,305,2022-01-17 14:30:05.486
221,125,233,113,165,27,354,322,310,2022-01-17 14:30:05.597
226,128,235,113,164,29,351,320,308,2022-01-17 14:30:05.708
226,130,235,114,165,29,351,320,307,2022-01-17 14:30:05.819
223,128,234,114,166,32,355,322,306,2022-01-17 14:30:05.928
224,130,235,114,165,29,351,320,308,2022-01-17 14:30:06.039
226,130,234,114,166,30,353,321,305,2022-01-17 14:30:06.150
221,127,234,114,166,32,354,322,314,2022-01-17 14:30:06.261
224,130,234,114,166,30,353,321,313,2022-01-17 14:30:06.372
223,127,233,113,164,28,351,318,316,2022-01-17 14:30:06.482
221,125,233,113,164,29,350,320,315,2022-01-17 14:30:06.593
224,130,234,114,163,29,351,317,313,2022-01-17 14:30:06.704
221,125,233,112,163,28,351,320,314,2022-01-17 14:30:06.814
224,128,233,113,161,29,349,317,315,2022-01-17 14:30:06.924
221,125,231,112,163,28,350,319,316,2022-01-17 14:30:07.035
224,128,233,113,164,29,349,317,315,2022-01-17 14:30:07.147
221,125,231,112,161,29,351,320,315,2022-01-17 14:30:07.259
221,125,231,109,159,27,350,319,315,2022-01-17 14:30:07.371
224,128,231,112,164,29,349,317,316,2022-01-17 14:30:07.482
222,130,234,111,163,32,352,321,313,2022-01-17 14:30:07.594
224,128,233,112,161,29,349,317,315,2022-01-17 14:30:07.705
224,130,234,114,162,30,351,319,311,2022-01-17 14:30:07.817
221,125,231,112,159,28,349,317,315,2022-01-17 14:30:07.929
222,130,234,111,163,32,352,320,313,2022-01-17 14:30:08.041
221,127,233,112,162,27,352,322,314,2022-01-17 14:30:08.152
222,130,234,111,162,32,352,319,313,2022-01-17 14:30:08.264
224,128,232,112,161,29,349,317,313,2022-01-17 14:30:08.376
224,130,232,111,162,29,349,317,313,2022-01-17 14:30:08.487
221,125,231,109,161,27,350,318,314,2022-01-17 14:30:08.598
221,125,229,109,159,28,349,317,315,2022-01-17 14:30:08.711
221,128,234,114,162,32,352,320,312,2022-01-17 14:30:08.822
222,128,231,109,159,29,348,317,314,2022-01-17 14:30:08.934
224,130,234,114,162,30,351,319,311,2022-01-17 14:30:09.045
222,128,231,111,161,29,349,317,313,2022-01-17 14:30:09.157
220,125,231,109,159,28,348,317,314,2022-01-17 14:30:09.269
221,125,231,109,161,27,350,318,314,2022-01-17 14:30:09.380
224,130,232,111,162,30,351,317,313,2022-01-17 14:30:09.493
221,127,231,110,162,32,352,319,313,2022-01-17 14:30:09.604
224,130,232,112,161,29,349,317,313,2022-01-17 14:30:09.716
222,174,288,147,174,30,361,321,313,2022-01-17 14:30:09.827
217,208,359,201,231,25,464,336,314,2022-01-17 14:30:09.940
213,256,420,253,313,28,563,358,316,2022-01-17 14:30:10.051
223,275,444,274,355,34,612,380,311,2022-01-17 14:30:10.163
218,311,464,304,385,29,654,396,311,2022-01-17 14:30:10.274
216,342,480,330,405,29,686,415,309,2022-01-17 14:30:10.386
209,377,500,353,432,27,713,436,312,2022-01-17 14:30:10.497
218,418,523,398,456,29,746,460,309,2022-01-17 14:30:10.608
216,482,561,413,494,30,779,487,308,2022-01-17 14:30:10.721
211,517,566,425,535,28,802,510,309,2022-01-17 14:30:10.833
208,550,583,443,565,27,829,537,310,2022-01-17 14:30:10.945
214,581,591,447,579,29,842,556,308,2022-01-17 14:30:11.056
214,598,595,453,590,28,850,573,308,2022-01-17 14:30:11.168
207,616,605,451,601,32,857,591,305,2022-01-17 14:30:11.279
209,622,604,463,612,27,865,603,310,2022-01-17 14:30:11.391
205,632,604,475,618,28,864,605,308,2022-01-17 14:30:11.503
205,638,606,484,628,26,873,621,307,2022-01-17 14:30:11.614
206,643,601,475,626,29,874,623,309,2022-01-17 14:30:11.726
207,642,596,469,626,23,874,625,308,2022-01-17 14:30:11.838
210,651,614,471,629,30,881,637,307,2022-01-17 14:30:11.949
209,652,597,501,635,25,879,638,307,2022-01-17 14:30:12.062
201,647,594,465,634,27,881,641,307,2022-01-17 14:30:12.173
205,656,593,463,632,25,879,641,308,2022-01-17 14:30:12.285
207,671,604,458,625,29,874,638,305,2022-01-17 14:30:12.396
208,664,591,461,623,23,874,637,307,2022-01-17 14:30:12.508
207,671,602,448,621,32,881,643,306,2022-01-17 14:30:12.620
207,677,606,449,618,28,874,640,305,2022-01-17 14:30:12.732
208,681,606,498,622,28,879,642,308,2022-01-17 14:30:12.843
206,680,617,487,623,30,884,647,305,2022-01-17 14:30:12.955
207,680,612,479,618,28,878,647,306,2022-01-17 14:30:13.066
209,682,616,487,616,25,880,649,307,2022-01-17 14:30:13.178
208,689,615,482,615,30,881,650,304,2022-01-17 14:30:13.290
205,682,616,496,617,27,879,649,306,2022-01-17 14:30:13.402
203,688,621,496,615,32,884,649,303,2022-01-17 14:30:13.514
205,688,628,518,614,25,876,648,306,2022-01-17 14:30:13.626
197,694,630,517,609,25,879,650,306,2022-01-17 14:30:13.737
202,695,625,507,602,29,875,646,305,2022-01-17 14:30:13.848
199,690,627,497,604,27,881,649,306,2022-01-17 14:30:13.960
201,695,629,516,599,32,881,648,304,2022-01-17 14:30:14.071
197,696,638,522,600,28,877,647,306,2022-01-17 14:30:14.183
202,702,639,535,594,29,874,644,305,2022-01-17 14:30:14.294
200,705,647,542,596,32,880,649,303,2022-01-17 14:30:14.406
199,706,654,548,595,25,875,647,306,2022-01-17 14:30:14.518
199,706,656,551,595,25,876,647,306,2022-01-17 14:30:14.630
202,709,653,546,590,29,874,643,305,2022-01-17 14:30:14.742
198,709,658,551,588,28,872,642,305,2022-01-17 14:30:14.854
200,715,663,565,589,32,877,645,303,2022-01-17 14:30:14.964
197,712,665,571,593,32,877,647,303,2022-01-17 14:30:15.077
200,721,667,577,588,29,874,643,304,2022-01-17 14:30:15.189
202,721,669,579,589,29,878,644,301,2022-01-17 14:30:15.300
198,721,675,579,595,32,884,647,302,2022-01-17 14:30:15.412
200,725,673,584,592,29,878,646,301,2022-01-17 14:30:15.523
202,725,674,588,591,29,874,643,303,2022-01-17 14:30:15.635
198,726,676,584,591,23,875,645,305,2022-01-17 14:30:15.747
200,729,676,575,590,28,875,644,304,2022-01-17 14:30:15.865
200,727,679,595,589,32,880,646,303,2022-01-17 14:30:15.970
197,728,680,599,591,27,881,647,303,2022-01-17 14:30:16.082
197,728,680,595,590,25,874,644,306,2022-01-17 14:30:16.193
197,730,686,599,591,26,877,645,306,2022-01-17 14:30:16.305
198,732,682,602,587,29,874,642,305,2022-01-17 14:30:16.416
198,733,685,597,588,30,880,646,301,2022-01-17 14:30:16.528
196,735,682,604,592,28,878,643,305,2022-01-17 14:30:16.640
198,737,683,605,592,29,878,644,304,2022-01-17 14:30:16.751
193,734,688,603,595,26,880,647,302,2022-01-17 14:30:16.864
193,739,687,614,590,23,878,645,303,2022-01-17 14:30:16.975
196,739,685,600,587,29,878,644,303,2022-01-17 14:30:17.087
193,736,694,612,592,27,881,647,302,2022-01-17 14:30:17.198
193,739,694,618,595,30,881,649,302,2022-01-17 14:30:17.311
193,738,694,613,594,27,881,649,302,2022-01-17 14:30:17.422
198,745,695,617,591,29,880,646,301,2022-01-17 14:30:17.533
195,748,693,621,593,29,878,646,301,2022-01-17 14:30:17.645
198,745,693,619,595,29,882,646,301,2022-01-17 14:30:17.757
196,744,696,623,599,25,880,647,304,2022-01-17 14:30:17.869
195,750,698,622,598,28,879,646,304,2022-01-17 14:30:17.981
193,750,702,629,604,27,883,649,303,2022-01-17 14:30:18.092
193,748,698,627,602,25,879,648,305,2022-01-17 14:30:18.204
194,749,697,622,598,28,878,648,301,2022-01-17 14:30:18.316
194,749,697,624,597,30,882,648,301,2022-01-17 14:30:18.427
194,747,698,620,598,28,878,647,303,2022-01-17 14:30:18.539
194,748,697,626,595,28,878,646,301,2022-01-17 14:30:18.651
192,746,702,628,597,30,881,652,302,2022-01-17 14:30:18.762
192,746,702,634,596,27,883,649,302,2022-01-17 14:30:18.874
193,751,698,635,600,23,879,648,301,2022-01-17 14:30:18.986
192,754,706,638,603,30,885,653,302,2022-01-17 14:30:19.097
192,754,703,630,603,25,880,650,303,2022-01-17 14:30:19.209
194,754,702,632,602,28,878,650,301,2022-01-17 14:30:19.321
194,759,705,632,602,29,878,650,301,2022-01-17 14:30:19.432
194,761,707,641,604,30,884,652,300,2022-01-17 14:30:19.544
193,760,707,648,608,25,882,653,302,2022-01-17 14:30:19.656
193,760,706,642,610,28,882,654,302,2022-01-17 14:30:19.768
192,761,713,641,609,32,885,658,299,2022-01-17 14:30:19.879
193,764,713,651,611,32,885,660,299,2022-01-17 14:30:19.990
194,761,711,645,614,32,885,660,298,2022-01-17 14:30:20.103
194,760,706,648,613,28,882,656,301,2022-01-17 14:30:20.214
194,761,707,647,614,29,878,656,301,2022-01-17 14:30:20.327
194,765,713,651,611,28,883,658,300,2022-01-17 14:30:20.438
194,766,710,651,611,28,879,656,301,2022-01-17 14:30:20.549
196,768,712,651,611,23,882,656,301,2022-01-17 14:30:20.660
193,767,717,655,612,32,885,661,299,2022-01-17 14:30:20.772
193,766,719,653,614,32,885,661,300,2022-01-17 14:30:20.884
193,767,718,655,614,27,882,659,302,2022-01-17 14:30:20.995
195,769,715,655,612,23,879,656,301,2022-01-17 14:30:21.107
