MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
190,150,170,120,210,32,274,209,292,2022-01-23 13:00:19.736
190,150,171,118,207,30,272,209,293,2022-01-23 13:00:19.853
190,147,174,118,209,29,271,208,293,2022-01-23 13:00:19.959
189,148,172,118,208,30,274,207,294,2022-01-23 13:00:20.068
190,150,172,118,205,29,271,208,293,2022-01-23 13:00:20.185
188,145,165,113,209,29,271,205,294,2022-01-23 13:00:20.284
190,149,169,117,209,29,272,206,295,2022-01-23 13:00:20.400
190,150,171,117,212,29,272,208,293,2022-01-23 13:00:20.500
189,148,167,113,202,28,273,210,296,2022-01-23 13:00:20.622
190,150,174,120,210,32,273,209,293,2022-01-23 13:00:20.722
190,148,172,117,208,29,271,205,294,2022-01-23 13:00:20.838
189,148,169,118,206,32,274,210,294,2022-01-23 13:00:20.955
189,148,172,113,212,28,274,210,296,2022-01-23 13:00:21.054
189,145,169,116,208,28,272,208,296,2022-01-23 13:00:21.170
190,150,171,120,206,32,274,209,294,2022-01-23 13:00:21.285
189,149,170,115,211,32,274,210,293,2022-01-23 13:00:21.385
190,148,172,117,208,29,269,208,293,2022-01-23 13:00:21.501
189,148,171,116,207,32,274,210,294,2022-01-23 13:00:21.618
185,144,167,112,207,31,274,210,296,2022-01-23 13:00:21.723
190,150,171,118,210,32,274,210,291,2022-01-23 13:00:21.839
189,149,171,118,210,32,274,210,294,2022-01-23 13:00:21.939
189,148,171,115,210,30,274,210,294,2022-01-23 13:00:22.055
190,150,171,120,210,32,274,210,294,2022-01-23 13:00:22.172
189,149,171,116,210,30,274,210,294,2022-01-23 13:00:22.271
189,147,169,117,207,29,272,206,294,2022-01-23 13:00:22.387
191,150,170,118,209,29,272,207,293,2022-01-23 13:00:22.503
189,148,167,117,206,28,274,208,296,2022-01-23 13:00:22.603
189,148,172,116,205,27,272,210,296,2022-01-23 13:00:22.712
190,150,170,118,207,29,272,208,293,2022-01-23 13:00:22.825
189,148,172,113,209,28,271,208,294,2022-01-23 13:00:22.941
189,149,167,118,212,30,274,210,294,2022-01-23 13:00:23.052
189,148,169,116,214,32,274,210,294,2022-01-23 13:00:23.157
190,150,171,117,208,29,272,207,293,2022-01-23 13:00:23.273
189,148,171,120,210,34,274,210,291,2022-01-23 13:00:23.388
190,150,170,120,210,32,274,210,293,2022-01-23 13:00:23.490
189,145,169,116,208,28,272,208,296,2022-01-23 13:00:23.604
190,152,171,120,210,30,273,209,292,2022-01-23 13:00:23.706
189,148,172,116,208,28,273,208,296,2022-01-23 13:00:23.827
190,150,171,118,208,29,272,208,293,2022-01-23 13:00:23.943
190,148,171,117,208,29,272,205,293,2022-01-23 13:00:24.043
189,148,170,116,210,32,274,210,294,2022-01-23 13:00:24.160
189,149,171,115,206,32,274,210,294,2022-01-23 13:00:24.259
189,148,173,117,208,29,271,207,294,2022-01-23 13:00:24.374
189,145,171,117,202,30,274,207,296,2022-01-23 13:00:24.490
189,148,170,118,214,32,274,210,294,2022-01-23 13:00:24.606
189,148,169,116,213,28,272,208,294,2022-01-23 13:00:24.706
