MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
329,173,199,139,174,34,398,286,330,2022-01-14 13:21:09.101
326,170,197,135,167,23,397,279,336,2022-01-14 13:21:09.211
331,174,200,142,174,33,397,283,327,2022-01-14 13:21:09.320
329,173,197,140,172,29,395,281,332,2022-01-14 13:21:09.430
329,173,197,137,172,31,397,282,332,2022-01-14 13:21:09.539
331,174,200,140,173,31,396,281,329,2022-01-14 13:21:09.650
329,173,197,140,173,29,395,281,331,2022-01-14 13:21:09.759
330,174,199,141,173,31,395,281,331,2022-01-14 13:21:09.868
327,177,197,140,172,32,396,283,331,2022-01-14 13:21:09.979
331,178,200,140,173,33,395,281,329,2022-01-14 13:21:10.088
331,178,200,142,174,34,396,284,329,2022-01-14 13:21:10.198
330,174,200,139,174,34,398,283,329,2022-01-14 13:21:10.310
330,178,200,142,174,34,397,284,329,2022-01-14 13:21:10.420
329,173,197,140,172,29,395,282,332,2022-01-14 13:21:10.531
327,173,197,140,172,31,397,282,331,2022-01-14 13:21:10.641
330,173,199,140,173,29,395,281,331,2022-01-14 13:21:10.752
329,172,197,140,172,29,395,282,331,2022-01-14 13:21:10.863
327,169,197,140,173,31,396,282,331,2022-01-14 13:21:10.973
329,171,197,140,172,31,395,282,331,2022-01-14 13:21:11.084
329,169,197,139,173,32,396,283,330,2022-01-14 13:21:11.194
327,172,197,140,173,32,396,282,331,2022-01-14 13:21:11.305
331,174,200,139,173,33,395,281,329,2022-01-14 13:21:11.415
331,174,200,142,174,33,396,283,329,2022-01-14 13:21:11.526
331,174,200,142,173,33,396,283,329,2022-01-14 13:21:11.637
331,174,200,140,172,33,396,281,329,2022-01-14 13:21:11.748
329,173,198,139,174,32,398,286,330,2022-01-14 13:21:11.859
327,172,197,139,172,33,396,283,331,2022-01-14 13:21:11.969
334,170,196,136,169,31,395,281,329,2022-01-14 13:21:12.079
330,173,199,141,172,29,395,281,331,2022-01-14 13:21:12.190
329,172,197,140,173,29,395,281,332,2022-01-14 13:21:12.301
330,174,200,142,174,34,397,284,329,2022-01-14 13:21:12.411
331,175,200,140,173,33,395,283,329,2022-01-14 13:21:12.522
330,176,198,139,174,34,398,284,330,2022-01-14 13:21:12.632
330,177,200,139,174,34,398,286,330,2022-01-14 13:21:12.743
331,178,200,142,174,33,396,283,329,2022-01-14 13:21:12.854
330,179,200,142,174,34,398,283,329,2022-01-14 13:21:12.965
331,179,200,140,174,33,397,281,329,2022-01-14 13:21:13.075
330,182,199,140,172,29,395,281,331,2022-01-14 13:21:13.186
327,177,197,140,173,31,396,282,332,2022-01-14 13:21:13.297
329,181,199,139,172,34,398,283,332,2022-01-14 13:21:13.407
329,177,199,139,174,32,398,284,331,2022-01-14 13:21:13.518
329,173,198,139,172,32,398,283,331,2022-01-14 13:21:13.628
330,174,199,140,173,31,397,281,329,2022-01-14 13:21:13.739
330,175,199,140,173,31,397,281,329,2022-01-14 13:21:13.850
330,174,200,140,173,31,397,281,331,2022-01-14 13:21:13.960
329,173,199,139,173,32,398,283,330,2022-01-14 13:21:14.071
327,172,197,137,172,31,394,282,331,2022-01-14 13:21:14.182
330,174,200,139,174,34,395,285,330,2022-01-14 13:21:14.292
329,171,199,139,174,34,395,283,330,2022-01-14 13:21:14.403
330,171,200,140,173,31,393,281,329,2022-01-14 13:21:14.514
330,171,200,142,174,34,396,284,330,2022-01-14 13:21:14.625
330,171,200,139,174,34,396,284,329,2022-01-14 13:21:14.735
330,171,200,139,174,34,398,284,330,2022-01-14 13:21:14.846
330,170,199,140,172,31,397,281,331,2022-01-14 13:21:14.957
330,171,200,142,174,34,400,284,329,2022-01-14 13:21:15.067
329,167,197,140,172,29,401,281,333,2022-01-14 13:21:15.177
329,167,197,140,173,29,393,281,332,2022-01-14 13:21:15.288
329,167,197,140,173,29,393,281,332,2022-01-14 13:21:15.399
329,167,197,140,173,29,391,281,332,2022-01-14 13:21:15.509
329,167,197,140,171,31,392,282,332,2022-01-14 13:21:15.621
331,170,200,142,174,34,394,284,329,2022-01-14 13:21:15.731
330,170,200,142,174,34,394,284,329,2022-01-14 13:21:15.841
331,170,202,142,174,34,393,285,329,2022-01-14 13:21:15.951
331,170,200,142,174,34,393,284,329,2022-01-14 13:21:16.062
327,165,197,140,172,31,392,283,332,2022-01-14 13:21:16.173
329,167,199,139,172,32,394,284,331,2022-01-14 13:21:16.284
331,168,199,141,172,31,391,281,331,2022-01-14 13:21:16.394
330,168,199,140,173,31,391,281,331,2022-01-14 13:21:16.505
329,167,199,140,173,34,394,283,331,2022-01-14 13:21:16.616
329,168,200,142,174,34,394,283,330,2022-01-14 13:21:16.726
329,170,200,142,174,34,394,284,330,2022-01-14 13:21:16.837
330,167,199,139,172,31,389,281,331,2022-01-14 13:21:16.948
330,171,200,139,173,33,391,283,329,2022-01-14 13:21:17.058
331,174,202,142,174,34,392,284,329,2022-01-14 13:21:17.169
