MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
505,930,858,816,993,32,933,885,290,2022-01-23 12:34:22.252
510,927,855,813,989,34,933,887,288,2022-01-23 12:34:22.348
506,930,856,814,994,29,931,885,290,2022-01-23 12:34:22.464
508,930,856,814,994,29,932,886,290,2022-01-23 12:34:22.581
519,946,867,826,992,29,934,883,289,2022-01-23 12:34:22.681
509,928,854,814,992,29,932,886,290,2022-01-23 12:34:22.796
507,930,859,816,993,32,933,885,290,2022-01-23 12:34:22.896
510,927,855,813,989,32,935,888,288,2022-01-23 12:34:23.012
509,928,857,816,989,34,935,885,288,2022-01-23 12:34:23.127
509,928,858,816,989,34,933,887,290,2022-01-23 12:34:23.234
508,930,858,816,991,34,933,885,290,2022-01-23 12:34:23.350
506,930,858,815,994,29,933,885,290,2022-01-23 12:34:23.451
512,925,853,809,983,31,934,888,287,2022-01-23 12:34:23.566
509,930,858,815,994,30,933,885,290,2022-01-23 12:34:23.682
507,930,858,814,994,30,933,885,290,2022-01-23 12:34:23.782
511,927,855,812,983,34,934,887,288,2022-01-23 12:34:23.898
510,928,857,813,989,34,933,887,288,2022-01-23 12:34:24.014
517,950,874,831,1016,24,939,885,291,2022-01-23 12:34:24.114
510,928,854,814,992,29,934,884,290,2022-01-23 12:34:24.236
511,927,850,810,987,29,931,886,290,2022-01-23 12:34:24.336
512,927,855,812,989,34,933,887,288,2022-01-23 12:34:24.452
513,927,851,809,984,31,934,888,287,2022-01-23 12:34:24.568
510,930,858,815,994,30,933,885,290,2022-01-23 12:34:24.668
513,927,855,812,988,34,934,888,287,2022-01-23 12:34:24.784
511,928,854,814,992,29,932,885,290,2022-01-23 12:34:24.884
513,925,853,813,985,34,935,887,288,2022-01-23 12:34:25.000
513,927,853,807,985,31,934,888,289,2022-01-23 12:34:25.115
514,925,852,809,985,31,931,888,287,2022-01-23 12:34:25.232
513,925,855,812,983,32,935,888,288,2022-01-23 12:34:25.338
511,930,856,814,994,29,933,885,290,2022-01-23 12:34:25.454
514,925,853,809,983,32,934,888,289,2022-01-23 12:34:25.554
511,930,858,815,993,30,933,885,290,2022-01-23 12:34:25.669
510,930,858,815,993,31,933,885,290,2022-01-23 12:34:25.771
512,928,854,811,992,29,931,885,290,2022-01-23 12:34:25.885
512,928,857,812,989,34,935,887,288,2022-01-23 12:34:26.001
512,928,857,813,989,34,935,887,288,2022-01-23 12:34:26.117
513,927,851,810,987,29,931,886,290,2022-01-23 12:34:26.217
514,925,855,812,985,34,935,887,287,2022-01-23 12:34:26.333
514,927,853,809,985,32,933,886,287,2022-01-23 12:34:26.440
514,927,850,810,987,29,931,886,290,2022-01-23 12:34:26.556
514,927,851,807,984,29,931,886,289,2022-01-23 12:34:26.671
514,926,852,808,986,29,930,886,289,2022-01-23 12:34:26.772
514,927,857,813,989,34,933,887,288,2022-01-23 12:34:26.888
515,925,853,809,984,32,934,886,287,2022-01-23 12:34:26.988
515,925,853,807,984,31,931,886,289,2022-01-23 12:34:27.104
512,928,860,813,991,32,933,885,290,2022-01-23 12:34:27.221
514,925,855,809,983,34,934,887,288,2022-01-23 12:34:27.335
514,928,854,810,992,29,931,886,290,2022-01-23 12:34:27.441
516,925,851,808,986,29,936,886,289,2022-01-23 12:34:27.541
512,928,860,813,993,32,933,885,290,2022-01-23 12:34:27.657
515,926,851,810,986,29,931,884,290,2022-01-23 12:34:27.769
513,928,858,814,994,29,932,885,290,2022-01-23 12:34:27.889
515,927,855,812,988,34,935,886,287,2022-01-23 12:34:27.988
515,925,853,807,983,32,932,888,287,2022-01-23 12:34:28.104
516,945,869,823,1005,23,954,904,289,2022-01-23 12:34:28.220
516,925,852,806,984,31,930,886,289,2022-01-23 12:34:28.332
515,927,851,808,986,29,931,886,289,2022-01-23 12:34:28.442
515,928,854,810,992,29,934,884,290,2022-01-23 12:34:28.542
513,928,860,813,991,34,935,887,290,2022-01-23 12:34:28.658
516,925,853,806,983,32,934,886,289,2022-01-23 12:34:28.767
517,925,851,807,986,29,934,886,289,2022-01-23 12:34:28.874
514,928,857,813,989,34,935,885,288,2022-01-23 12:34:28.991
515,930,856,810,994,29,933,885,290,2022-01-23 12:34:29.106
514,928,858,814,994,30,933,885,290,2022-01-23 12:34:29.206
516,928,851,808,987,29,934,886,290,2022-01-23 12:34:29.322
515,930,858,814,992,32,933,885,290,2022-01-23 12:34:29.437
516,927,855,812,989,34,935,887,288,2022-01-23 12:34:29.544
515,930,858,811,994,29,933,885,290,2022-01-23 12:34:29.660
515,930,858,813,992,32,933,885,290,2022-01-23 12:34:29.760
518,927,850,808,990,29,931,884,290,2022-01-23 12:34:29.875
516,928,854,810,992,29,932,884,290,2022-01-23 12:34:29.991
518,925,853,807,985,32,934,886,287,2022-01-23 12:34:30.091
516,930,857,813,991,34,933,885,290,2022-01-23 12:34:30.207
517,928,856,810,994,29,931,885,290,2022-01-23 12:34:30.324
519,926,850,806,986,29,934,886,291,2022-01-23 12:34:30.423
516,928,858,812,995,30,933,885,290,2022-01-23 12:34:30.545
518,927,855,809,989,34,935,887,288,2022-01-23 12:34:30.645
519,925,853,807,985,33,934,888,287,2022-01-23 12:34:30.761
517,928,858,813,991,34,933,887,290,2022-01-23 12:34:30.877
517,928,854,810,992,29,931,885,290,2022-01-23 12:34:30.977
520,925,851,805,984,31,934,886,289,2022-01-23 12:34:31.094
518,927,851,808,987,29,930,886,289,2022-01-23 12:34:31.209
517,928,856,811,994,29,935,885,291,2022-01-23 12:34:31.312
521,925,852,807,984,32,934,888,287,2022-01-23 12:34:31.425
520,925,852,805,984,31,934,886,289,2022-01-23 12:34:31.542
518,928,857,812,989,32,933,887,289,2022-01-23 12:34:31.648
519,925,855,807,988,34,935,886,287,2022-01-23 12:34:31.748
518,929,857,812,991,34,933,885,290,2022-01-23 12:34:31.863
518,927,855,811,989,34,935,886,289,2022-01-23 12:34:31.979
518,928,856,811,992,29,933,884,290,2022-01-23 12:34:32.080
521,925,850,805,986,28,954,904,289,2022-01-23 12:34:32.196
522,925,850,805,986,31,931,888,289,2022-01-23 12:34:32.311
520,925,853,807,985,34,934,888,287,2022-01-23 12:34:32.429
518,930,858,811,993,32,933,885,290,2022-01-23 12:34:32.527
519,926,852,808,992,29,931,883,290,2022-01-23 12:34:32.649
518,930,858,812,994,30,933,885,290,2022-01-23 12:34:32.749
518,928,856,810,994,29,932,884,291,2022-01-23 12:34:32.865
521,925,850,805,986,29,931,886,289,2022-01-23 12:34:32.981
519,928,858,813,992,30,933,885,290,2022-01-23 12:34:33.097
518,928,858,812,994,30,933,885,290,2022-01-23 12:34:33.196
520,927,853,807,989,34,935,887,289,2022-01-23 12:34:33.312
521,925,851,804,986,29,930,886,289,2022-01-23 12:34:33.428
521,925,853,805,983,32,932,886,289,2022-01-23 12:34:33.543
520,925,853,807,985,34,935,886,289,2022-01-23 12:34:33.650
519,930,856,810,994,29,932,885,290,2022-01-23 12:34:33.766
521,926,850,808,987,29,931,883,290,2022-01-23 12:34:33.866
522,925,851,803,984,31,931,886,289,2022-01-23 12:34:33.987
519,928,851,808,994,29,932,884,290,2022-01-23 12:34:34.099
518,928,858,811,991,32,933,885,290,2022-01-23 12:34:34.201
519,928,856,810,994,29,932,884,290,2022-01-23 12:34:34.317
521,925,853,807,988,34,935,887,287,2022-01-23 12:34:34.433
520,927,857,809,989,34,933,885,290,2022-01-23 12:34:34.550
519,930,858,811,992,32,933,885,290,2022-01-23 12:34:34.651
522,925,851,804,984,31,931,886,289,2022-01-23 12:34:34.766
521,926,850,806,987,29,931,884,290,2022-01-23 12:34:34.882
522,925,853,804,983,32,934,886,287,2022-01-23 12:34:34.994
522,925,853,805,988,34,935,886,287,2022-01-23 12:34:35.106
522,926,850,806,986,29,930,883,289,2022-01-23 12:34:35.218
520,929,857,809,991,34,933,885,288,2022-01-23 12:34:35.331
523,925,851,803,984,31,934,886,289,2022-01-23 12:34:35.438
522,925,853,807,983,34,935,886,288,2022-01-23 12:34:35.551
520,928,858,810,992,32,933,885,290,2022-01-23 12:34:35.656
521,927,855,807,989,34,935,885,289,2022-01-23 12:34:35.772
520,930,858,810,994,30,932,885,290,2022-01-23 12:34:35.887
522,926,850,806,986,29,931,882,290,2022-01-23 12:34:36.002
520,928,856,810,994,29,933,884,290,2022-01-23 12:34:36.114
520,928,858,810,993,30,933,885,290,2022-01-23 12:34:36.225
521,928,856,810,994,29,933,884,290,2022-01-23 12:34:36.339
523,927,850,804,987,29,930,883,289,2022-01-23 12:34:36.450
520,928,858,810,994,29,933,885,291,2022-01-23 12:34:36.561
524,925,853,805,983,32,933,886,287,2022-01-23 12:34:36.671
524,925,850,802,986,29,930,886,289,2022-01-23 12:34:36.781
524,925,852,804,984,32,934,886,289,2022-01-23 12:34:36.897
524,925,852,805,984,32,934,886,289,2022-01-23 12:34:36.997
521,930,856,810,994,29,933,884,290,2022-01-23 12:34:37.115
523,926,850,803,986,29,930,883,290,2022-01-23 12:34:37.230
523,926,850,803,986,29,931,883,290,2022-01-23 12:34:37.329
522,927,855,807,989,34,933,887,288,2022-01-23 12:34:37.444
524,927,849,802,986,29,931,883,289,2022-01-23 12:34:37.561
521,928,856,810,994,29,933,885,291,2022-01-23 12:34:37.677
522,926,851,808,992,29,932,883,291,2022-01-23 12:34:37.782
522,928,858,810,992,30,933,885,290,2022-01-23 12:34:37.898
523,925,853,805,985,34,935,886,288,2022-01-23 12:34:38.014
524,925,853,805,985,34,933,886,289,2022-01-23 12:34:38.114
524,925,853,805,988,34,935,886,287,2022-01-23 12:34:38.230
523,926,850,806,992,29,931,883,291,2022-01-23 12:34:38.346
525,927,849,802,986,29,931,886,289,2022-01-23 12:34:38.446
525,925,852,804,983,32,934,886,287,2022-01-23 12:34:38.562
523,928,851,806,992,29,931,883,290,2022-01-23 12:34:38.684
523,927,855,805,989,32,935,887,287,2022-01-23 12:34:38.792
524,926,850,803,987,29,930,883,290,2022-01-23 12:34:38.908
525,925,850,802,986,29,930,886,289,2022-01-23 12:34:39.007
526,925,851,802,984,31,934,886,289,2022-01-23 12:34:39.123
522,930,856,810,993,30,933,885,290,2022-01-23 12:34:39.239
526,925,851,801,983,31,934,883,289,2022-01-23 12:34:39.355
522,928,858,809,991,34,933,885,290,2022-01-23 12:34:39.457
523,927,856,807,989,34,933,885,290,2022-01-23 12:34:39.571
522,927,859,807,991,32,933,885,290,2022-01-23 12:34:39.687
522,928,858,807,991,32,933,885,290,2022-01-23 12:34:39.793
525,925,849,801,986,29,930,883,289,2022-01-23 12:34:39.911
522,927,857,807,989,34,933,885,289,2022-01-23 12:34:40.024
523,926,855,807,989,34,935,885,290,2022-01-23 12:34:40.125
524,926,850,802,987,29,930,883,289,2022-01-23 12:34:40.240
524,927,855,805,989,34,935,885,289,2022-01-23 12:34:40.356
525,925,850,802,986,29,930,883,289,2022-01-23 12:34:40.459
525,925,851,801,986,29,930,883,289,2022-01-23 12:34:40.583
526,925,850,802,986,29,930,883,289,2022-01-23 12:34:40.694
525,926,850,802,986,29,930,883,289,2022-01-23 12:34:40.794
524,926,855,807,989,34,933,885,289,2022-01-23 12:34:40.909
524,926,851,803,990,29,930,883,291,2022-01-23 12:34:41.025
524,928,850,806,994,29,931,882,291,2022-01-23 12:34:41.141
524,926,851,806,994,29,931,884,290,2022-01-23 12:34:41.241
523,928,856,808,994,30,933,885,290,2022-01-23 12:34:41.365
522,928,858,808,994,30,933,884,290,2022-01-23 12:34:41.474
527,925,849,803,983,32,934,883,289,2022-01-23 12:34:41.589
526,925,849,801,986,29,931,882,289,2022-01-23 12:34:41.695
522,928,856,807,993,30,933,885,290,2022-01-23 12:34:41.811
522,928,856,808,994,30,933,885,290,2022-01-23 12:34:41.911
526,925,850,801,984,31,931,886,287,2022-01-23 12:34:42.026
523,928,856,808,994,32,933,885,290,2022-01-23 12:34:42.142
525,925,853,804,988,34,935,886,289,2022-01-23 12:34:42.258
527,925,849,801,984,31,931,882,289,2022-01-23 12:34:42.358
525,927,853,805,989,34,933,887,288,2022-01-23 12:34:42.474
523,928,857,807,991,34,933,885,290,2022-01-23 12:34:42.590
526,925,849,802,984,29,930,883,289,2022-01-23 12:34:42.696
525,927,855,805,989,34,933,887,289,2022-01-23 12:34:42.812
525,927,853,805,989,34,935,885,289,2022-01-23 12:34:42.928
527,925,849,800,984,31,930,883,289,2022-01-23 12:34:43.028
527,925,853,801,984,32,934,886,287,2022-01-23 12:34:43.144
526,925,848,800,986,29,930,883,291,2022-01-23 12:34:43.262
526,925,855,804,988,34,933,886,287,2022-01-23 12:34:43.375
524,928,856,808,994,30,933,885,290,2022-01-23 12:34:43.476
524,928,856,806,994,29,933,884,290,2022-01-23 12:34:43.597
524,928,858,808,993,32,933,885,290,2022-01-23 12:34:43.697
527,925,848,800,986,29,930,883,289,2022-01-23 12:34:43.813
526,926,850,803,994,29,931,884,290,2022-01-23 12:34:43.929
524,930,856,808,993,31,933,885,290,2022-01-23 12:34:44.046
528,925,849,799,983,31,931,883,287,2022-01-23 12:34:44.153
528,925,849,799,984,31,934,883,289,2022-01-23 12:34:44.260
524,928,856,806,993,30,933,885,290,2022-01-23 12:34:44.376
527,925,853,801,984,32,934,886,289,2022-01-23 12:34:44.493
525,928,856,806,994,30,933,885,290,2022-01-23 12:34:44.598
528,925,849,802,986,29,931,883,289,2022-01-23 12:34:44.714
527,926,850,802,987,29,930,882,291,2022-01-23 12:34:44.814
528,924,848,800,986,29,931,882,289,2022-01-23 12:34:44.929
524,928,856,806,994,29,933,884,291,2022-01-23 12:34:45.045
525,928,858,806,993,30,933,885,290,2022-01-23 12:34:45.161
