MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
176,157,141,117,149,29,316,238,308,2022-01-23 12:32:33.086
178,162,143,120,153,31,316,237,305,2022-01-23 12:32:33.186
176,159,141,118,156,30,318,240,307,2022-01-23 12:32:33.302
173,159,142,114,155,30,318,240,307,2022-01-23 12:32:33.418
173,157,141,117,153,29,316,239,307,2022-01-23 12:32:33.518
178,162,146,120,152,32,317,239,305,2022-01-23 12:32:33.633
175,159,141,119,154,32,318,239,307,2022-01-23 12:32:33.733
178,154,142,121,151,29,316,237,307,2022-01-23 12:32:33.849
178,160,143,121,152,31,316,237,305,2022-01-23 12:32:33.965
178,162,143,118,154,32,317,240,305,2022-01-23 12:32:34.065
178,160,146,120,154,32,318,240,305,2022-01-23 12:32:34.188
175,162,142,118,154,34,318,240,306,2022-01-23 12:32:34.288
176,157,143,119,151,29,316,237,307,2022-01-23 12:32:34.404
173,159,141,120,152,32,318,239,307,2022-01-23 12:32:34.520
173,159,143,117,150,32,318,239,307,2022-01-23 12:32:34.620
178,160,143,119,153,29,316,237,307,2022-01-23 12:32:34.736
176,159,144,117,149,29,316,237,307,2022-01-23 12:32:34.852
176,159,144,117,151,29,316,237,308,2022-01-23 12:32:34.960
178,162,146,118,156,32,318,239,305,2022-01-23 12:32:35.068
178,162,142,117,151,29,316,237,308,2022-01-23 12:32:35.183
176,162,144,118,150,34,318,239,306,2022-01-23 12:32:35.290
178,162,143,118,147,32,317,237,305,2022-01-23 12:32:35.406
176,162,142,118,158,34,318,241,306,2022-01-23 12:32:35.506
176,157,141,117,151,29,316,238,308,2022-01-23 12:32:35.621
178,163,143,120,154,32,318,239,305,2022-01-23 12:32:35.738
173,161,141,117,152,30,318,239,308,2022-01-23 12:32:35.837
173,161,141,119,152,32,318,240,308,2022-01-23 12:32:35.954
175,161,144,119,151,29,315,237,309,2022-01-23 12:32:36.069
173,159,136,116,149,22,319,238,310,2022-01-23 12:32:36.169
174,162,143,122,154,34,319,242,306,2022-01-23 12:32:36.291
176,161,141,119,151,29,318,239,307,2022-01-23 12:32:36.391
177,161,144,117,151,29,316,237,308,2022-01-23 12:32:36.507
173,159,141,116,153,30,318,239,307,2022-01-23 12:32:36.623
176,161,142,116,155,32,318,239,307,2022-01-23 12:32:36.723
176,161,144,116,151,29,316,237,309,2022-01-23 12:32:36.838
173,159,141,115,152,30,318,240,307,2022-01-23 12:32:36.939
173,159,143,116,158,32,318,239,307,2022-01-23 12:32:37.054
176,157,144,119,153,29,318,238,308,2022-01-23 12:32:37.170
176,159,144,119,149,29,316,238,308,2022-01-23 12:32:37.285
176,166,143,120,154,32,318,240,305,2022-01-23 12:32:37.392
174,171,143,120,152,32,317,240,305,2022-01-23 12:32:37.508
175,161,141,119,151,29,315,238,308,2022-01-23 12:32:37.607
178,163,143,120,152,29,317,237,305,2022-01-23 12:32:37.724
178,162,143,120,153,31,317,237,305,2022-01-23 12:32:37.839
175,166,143,122,154,32,319,240,307,2022-01-23 12:32:37.939
173,159,144,117,151,29,317,238,308,2022-01-23 12:32:38.055
175,161,141,117,151,29,317,238,310,2022-01-23 12:32:38.171
176,164,142,120,154,32,319,240,305,2022-01-23 12:32:38.270
175,163,144,117,151,29,317,237,308,2022-01-23 12:32:38.393
176,161,144,117,151,30,318,239,308,2022-01-23 12:32:38.493
173,161,144,117,149,30,327,239,308,2022-01-23 12:32:38.609
