MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
234,131,181,84,133,31,282,207,294,2022-01-23 17:05:54.340
233,132,182,82,134,35,285,211,289,2022-01-23 17:05:54.448
231,132,181,82,132,34,286,210,290,2022-01-23 17:05:54.557
234,136,182,86,133,36,281,209,292,2022-01-23 17:05:54.666
234,133,181,81,132,31,282,208,294,2022-01-23 17:05:54.774
232,132,181,81,129,31,283,207,294,2022-01-23 17:05:54.883
234,132,181,84,132,29,281,208,293,2022-01-23 17:05:54.991
234,136,184,86,133,36,283,209,292,2022-01-23 17:05:55.100
234,131,181,84,129,31,282,207,294,2022-01-23 17:05:55.209
231,132,180,82,134,34,286,210,291,2022-01-23 17:05:55.317
234,136,184,83,132,35,281,209,292,2022-01-23 17:05:55.427
235,136,182,83,133,31,279,208,293,2022-01-23 17:05:55.537
232,134,184,82,131,36,284,209,292,2022-01-23 17:05:55.647
231,132,181,81,131,34,286,210,291,2022-01-23 17:05:55.756
229,132,181,81,132,34,284,210,291,2022-01-23 17:05:55.866
231,132,180,81,131,34,286,210,292,2022-01-23 17:05:55.975
231,129,181,81,131,34,286,210,291,2022-01-23 17:05:56.085
234,131,182,84,132,29,281,208,293,2022-01-23 17:05:56.195
231,129,180,82,131,34,286,210,291,2022-01-23 17:05:56.304
229,132,180,82,134,34,286,210,291,2022-01-23 17:05:56.413
234,134,184,83,134,36,284,209,292,2022-01-23 17:05:56.524
231,132,180,82,131,34,286,210,292,2022-01-23 17:05:56.633
235,132,181,81,132,31,281,208,294,2022-01-23 17:05:56.743
233,129,181,81,131,34,286,210,294,2022-01-23 17:05:56.853
234,132,181,84,132,31,281,207,294,2022-01-23 17:05:56.962
233,132,182,82,134,38,285,209,292,2022-01-23 17:05:57.071
234,130,178,79,128,29,285,208,293,2022-01-23 17:05:57.181
234,133,181,84,132,31,281,208,294,2022-01-23 17:05:57.291
234,136,184,84,131,33,281,208,293,2022-01-23 17:05:57.401
233,129,181,81,132,33,283,210,294,2022-01-23 17:05:57.510
234,136,182,83,132,33,281,205,293,2022-01-23 17:05:57.619
233,132,181,81,132,31,283,208,294,2022-01-23 17:05:57.730
231,132,181,81,131,34,283,210,292,2022-01-23 17:05:57.839
234,132,180,84,132,29,281,208,294,2022-01-23 17:05:57.949
231,132,182,82,134,34,286,210,292,2022-01-23 17:05:58.058
234,136,184,83,134,35,283,209,292,2022-01-23 17:05:58.168
235,134,182,84,133,31,281,208,293,2022-01-23 17:05:58.278
233,129,181,81,129,31,284,210,294,2022-01-23 17:05:58.388
234,132,181,84,132,29,283,208,296,2022-01-23 17:05:58.497
234,134,182,82,134,35,285,209,292,2022-01-23 17:05:58.607
234,134,180,84,132,29,276,205,295,2022-01-23 17:05:58.716
234,134,182,83,132,33,284,208,293,2022-01-23 17:05:58.826
229,132,180,81,132,34,286,210,294,2022-01-23 17:05:58.936
231,132,182,82,136,35,286,210,291,2022-01-23 17:05:59.044
233,132,180,81,129,32,284,210,296,2022-01-23 17:05:59.155
233,132,181,81,129,33,283,210,294,2022-01-23 17:05:59.264
234,136,182,83,132,33,281,205,293,2022-01-23 17:05:59.374
234,134,181,84,132,31,281,207,294,2022-01-23 17:05:59.484
233,131,181,81,129,31,283,208,296,2022-01-23 17:05:59.593
231,129,180,81,131,34,286,210,294,2022-01-23 17:05:59.703
234,136,182,84,132,31,281,208,294,2022-01-23 17:05:59.812
234,132,181,81,132,31,281,207,296,2022-01-23 17:05:59.922
233,132,181,81,132,33,284,210,294,2022-01-23 17:06:00.031
232,132,181,84,129,29,283,207,296,2022-01-23 17:06:00.141
234,136,182,84,132,31,281,208,293,2022-01-23 17:06:00.251
234,133,181,84,133,31,281,205,295,2022-01-23 17:06:00.361
229,129,180,82,131,34,286,210,292,2022-01-23 17:06:00.470
231,131,180,82,134,34,286,210,292,2022-01-23 17:06:00.579
229,132,180,83,131,34,286,210,292,2022-01-23 17:06:00.690
234,131,181,84,129,31,282,207,296,2022-01-23 17:06:00.799
233,132,181,81,132,31,283,210,296,2022-01-23 17:06:00.908
234,136,182,84,132,36,281,208,293,2022-01-23 17:06:01.018
231,129,180,81,129,34,284,210,296,2022-01-23 17:06:01.127
234,136,184,84,131,36,284,205,293,2022-01-23 17:06:01.238
231,129,180,81,131,34,286,210,294,2022-01-23 17:06:01.347
231,131,180,82,134,34,288,210,292,2022-01-23 17:06:01.457
233,132,180,81,129,31,283,210,294,2022-01-23 17:06:01.567
229,129,180,82,132,34,286,210,292,2022-01-23 17:06:01.676
229,129,180,82,131,34,286,210,292,2022-01-23 17:06:01.786
233,132,181,81,132,31,284,208,294,2022-01-23 17:06:01.895
234,136,184,83,133,35,281,208,293,2022-01-23 17:06:02.005
234,132,181,84,127,29,281,208,296,2022-01-23 17:06:02.115
233,134,182,83,136,35,285,209,293,2022-01-23 17:06:02.225
234,134,184,84,133,33,284,208,295,2022-01-23 17:06:02.334
234,131,181,84,132,31,283,207,298,2022-01-23 17:06:02.443
229,129,180,81,131,34,286,210,294,2022-01-23 17:06:02.553
234,132,181,81,129,31,283,208,298,2022-01-23 17:06:02.663
231,129,180,81,132,34,286,210,296,2022-01-23 17:06:02.772
231,129,181,82,131,34,286,210,294,2022-01-23 17:06:02.882
234,136,181,84,132,31,281,208,295,2022-01-23 17:06:02.992
229,132,180,82,131,34,286,210,293,2022-01-23 17:06:03.102
231,132,181,81,131,32,286,210,296,2022-01-23 17:06:03.211
232,134,182,83,134,24,286,205,293,2022-01-23 17:06:03.321
229,129,180,82,131,34,286,210,294,2022-01-23 17:06:03.430
231,129,177,81,131,34,286,210,296,2022-01-23 17:06:03.539
229,129,177,82,132,34,286,210,296,2022-01-23 17:06:03.649
234,131,182,84,132,31,281,205,295,2022-01-23 17:06:03.760
234,133,181,81,129,31,281,207,296,2022-01-23 17:06:03.869
232,134,182,83,134,36,285,209,293,2022-01-23 17:06:03.978
229,129,180,82,131,34,286,210,294,2022-01-23 17:06:04.088
234,134,181,84,129,31,281,207,296,2022-01-23 17:06:04.198
234,134,182,84,133,36,284,205,295,2022-01-23 17:06:04.307
234,132,181,84,132,29,281,207,296,2022-01-23 17:06:04.418
229,132,181,81,131,32,284,210,298,2022-01-23 17:06:04.528
234,132,181,81,132,31,282,208,298,2022-01-23 17:06:04.639
