MQ-3,MQ-135,MQ-138,MQ-136,TGS2611,MG-811,MQ-137,MQ-5,MQ-131,tsm
235,143,274,266,162,79,374,391,301,2022-01-17 13:39:38.297
231,141,273,265,160,78,374,394,302,2022-01-17 13:39:38.407
235,143,274,265,161,80,372,389,301,2022-01-17 13:39:38.516
235,146,274,264,162,79,372,389,301,2022-01-17 13:39:38.626
235,146,274,263,159,77,371,391,301,2022-01-17 13:39:38.735
233,141,273,263,159,78,372,394,302,2022-01-17 13:39:38.845
234,141,273,263,159,77,371,392,302,2022-01-17 13:39:38.955
234,143,274,266,162,79,374,392,300,2022-01-17 13:39:39.064
233,143,274,266,162,78,374,392,301,2022-01-17 13:39:39.174
233,141,273,264,162,79,374,394,302,2022-01-17 13:39:39.283
238,146,274,264,161,77,371,389,301,2022-01-17 13:39:39.395
234,143,274,266,162,79,373,391,301,2022-01-17 13:39:39.505
233,143,274,266,162,79,374,392,300,2022-01-17 13:39:39.615
238,146,274,264,162,79,371,389,301,2022-01-17 13:39:39.726
231,141,272,264,162,78,374,393,302,2022-01-17 13:39:39.837
233,142,274,266,162,79,374,392,300,2022-01-17 13:39:39.948
233,141,273,263,159,78,372,393,302,2022-01-17 13:39:40.058
235,143,274,264,159,77,371,389,301,2022-01-17 13:39:40.168
231,141,273,264,162,79,374,394,300,2022-01-17 13:39:40.279
238,143,273,263,159,77,371,391,302,2022-01-17 13:39:40.390
234,143,274,266,162,78,374,392,300,2022-01-17 13:39:40.500
234,142,274,266,162,79,373,391,301,2022-01-17 13:39:40.612
233,141,273,264,160,78,374,394,302,2022-01-17 13:39:40.722
236,144,273,263,159,77,369,391,302,2022-01-17 13:39:40.832
234,143,274,266,162,79,374,391,301,2022-01-17 13:39:40.943
234,143,274,266,162,79,373,390,301,2022-01-17 13:39:41.054
238,144,275,263,159,77,371,391,302,2022-01-17 13:39:41.165
233,141,273,263,160,78,373,394,302,2022-01-17 13:39:41.275
233,143,274,266,162,79,374,392,301,2022-01-17 13:39:41.386
235,141,272,263,159,77,371,392,302,2022-01-17 13:39:41.497
233,141,272,263,160,78,372,394,302,2022-01-17 13:39:41.607
235,146,274,266,162,79,372,389,301,2022-01-17 13:39:41.718
231,141,273,264,162,79,374,392,302,2022-01-17 13:39:41.828
236,143,273,265,159,77,369,389,302,2022-01-17 13:39:41.939
238,143,272,265,159,81,369,390,302,2022-01-17 13:39:42.050
235,142,274,267,162,82,372,391,300,2022-01-17 13:39:42.160
244,143,274,278,162,79,371,399,297,2022-01-17 13:39:42.270
241,141,272,271,160,78,370,399,299,2022-01-17 13:39:42.382
243,143,273,269,157,84,365,395,311,2022-01-17 13:39:42.492
242,142,274,270,162,83,364,395,313,2022-01-17 13:39:42.603
241,141,272,269,159,82,362,396,322,2022-01-17 13:39:42.714
243,143,274,268,159,84,361,393,321,2022-01-17 13:39:42.824
243,144,274,268,157,85,361,393,320,2022-01-17 13:39:42.934
242,143,274,266,162,84,365,393,309,2022-01-17 13:39:43.045
231,141,274,264,162,82,367,398,314,2022-01-17 13:39:43.156
233,144,274,266,162,82,368,395,311,2022-01-17 13:39:43.266
231,141,273,263,159,78,370,398,312,2022-01-17 13:39:43.377
233,143,274,266,162,82,371,395,313,2022-01-17 13:39:43.488
231,141,273,263,160,78,370,398,326,2022-01-17 13:39:43.599
234,143,274,266,162,78,370,394,321,2022-01-17 13:39:43.710
231,141,273,264,159,78,372,395,310,2022-01-17 13:39:43.820
235,141,273,269,157,73,372,396,304,2022-01-17 13:39:43.930
234,143,261,267,157,71,373,397,303,2022-01-17 13:39:44.041
231,141,249,268,157,75,373,399,302,2022-01-17 13:39:44.152
234,143,235,267,159,76,373,399,301,2022-01-17 13:39:44.262
233,141,241,265,157,73,374,402,302,2022-01-17 13:39:44.373
234,146,222,267,159,77,373,397,301,2022-01-17 13:39:44.484
234,143,238,267,160,77,375,396,301,2022-01-17 13:39:44.594
231,143,206,266,162,78,376,395,301,2022-01-17 13:39:44.705
229,141,227,267,158,78,376,398,302,2022-01-17 13:39:44.815
234,143,191,265,157,77,373,392,303,2022-01-17 13:39:44.926
229,144,209,266,160,75,376,395,302,2022-01-17 13:39:45.037
232,145,165,265,157,76,373,393,303,2022-01-17 13:39:45.147
234,146,208,265,157,77,375,391,303,2022-01-17 13:39:45.259
231,144,193,265,157,76,375,395,303,2022-01-17 13:39:45.369
234,146,232,266,160,77,375,393,301,2022-01-17 13:39:45.480
234,146,215,265,157,77,373,395,303,2022-01-17 13:39:45.590
231,146,243,266,162,78,377,396,301,2022-01-17 13:39:45.701
234,146,238,266,159,77,375,395,301,2022-01-17 13:39:45.812
231,146,250,266,162,78,377,397,301,2022-01-17 13:39:45.922
229,145,244,265,159,78,378,399,302,2022-01-17 13:39:46.033
229,145,223,266,160,78,378,398,302,2022-01-17 13:39:46.143
232,145,221,263,157,76,374,396,303,2022-01-17 13:39:46.254
234,146,206,266,159,77,375,391,301,2022-01-17 13:39:46.364
229,145,223,265,157,75,376,394,303,2022-01-17 13:39:46.475
234,146,203,265,157,77,373,392,303,2022-01-17 13:39:46.586
232,146,238,267,160,77,376,391,301,2022-01-17 13:39:46.697
229,144,213,267,158,78,378,395,302,2022-01-17 13:39:46.807
232,145,257,265,157,77,374,394,302,2022-01-17 13:39:46.918
234,146,232,267,158,77,375,391,301,2022-01-17 13:39:47.029
232,145,263,265,157,76,373,394,303,2022-01-17 13:39:47.139
232,146,226,267,160,78,377,393,301,2022-01-17 13:39:47.250
229,144,256,265,157,76,376,394,302,2022-01-17 13:39:47.360
234,147,228,267,157,76,373,393,303,2022-01-17 13:39:47.471
232,145,252,265,157,76,373,394,303,2022-01-17 13:39:47.582
229,144,237,266,158,78,378,396,302,2022-01-17 13:39:47.692
229,145,253,265,157,76,375,396,303,2022-01-17 13:39:47.803
230,142,242,264,151,68,373,393,303,2022-01-17 13:39:47.914
231,145,236,265,157,76,374,396,303,2022-01-17 13:39:48.031
234,146,263,265,157,77,373,395,303,2022-01-17 13:39:48.135
229,145,259,267,158,78,378,398,302,2022-01-17 13:39:48.246
229,145,311,267,157,78,376,398,302,2022-01-17 13:39:48.358
232,146,254,267,160,77,375,393,301,2022-01-17 13:39:48.469
232,146,259,267,160,77,375,393,301,2022-01-17 13:39:48.581
229,145,215,267,158,78,376,398,302,2022-01-17 13:39:48.692
229,144,245,265,157,77,374,398,303,2022-01-17 13:39:48.804
231,145,241,265,157,77,373,395,303,2022-01-17 13:39:48.916
229,144,216,267,160,78,376,396,301,2022-01-17 13:39:49.028
234,146,239,267,159,77,373,393,301,2022-01-17 13:39:49.139
232,146,206,267,160,78,375,394,301,2022-01-17 13:39:49.250
231,145,237,265,157,76,373,395,304,2022-01-17 13:39:49.362
229,145,210,267,160,78,377,396,302,2022-01-17 13:39:49.474
229,145,221,267,160,78,378,398,302,2022-01-17 13:39:49.586
232,146,226,267,160,78,375,393,301,2022-01-17 13:39:49.697
232,146,205,265,157,77,373,395,304,2022-01-17 13:39:49.809
234,146,255,267,159,77,373,393,301,2022-01-17 13:39:49.921
229,145,221,265,157,76,373,396,302,2022-01-17 13:39:50.033
229,144,247,267,160,78,378,397,302,2022-01-17 13:39:50.145
229,144,233,266,158,78,376,398,303,2022-01-17 13:39:50.256
229,145,222,267,162,78,377,396,301,2022-01-17 13:39:50.368
234,146,234,267,159,77,373,393,301,2022-01-17 13:39:50.479
231,145,193,265,157,76,372,396,303,2022-01-17 13:39:50.591
229,145,230,267,162,78,376,396,301,2022-01-17 13:39:50.703
229,145,211,267,160,78,376,397,302,2022-01-17 13:39:50.814
232,146,234,267,160,77,373,393,301,2022-01-17 13:39:50.926
232,146,232,267,160,78,375,393,301,2022-01-17 13:39:51.037
232,146,203,267,157,77,373,395,303,2022-01-17 13:39:51.150
229,145,228,267,159,78,376,398,303,2022-01-17 13:39:51.261
231,145,193,265,157,77,373,396,303,2022-01-17 13:39:51.373
230,146,234,267,162,78,376,396,301,2022-01-17 13:39:51.484
229,145,218,267,162,78,376,396,301,2022-01-17 13:39:51.596
231,145,225,265,157,77,373,395,304,2022-01-17 13:39:51.708
228,145,238,268,162,78,376,395,301,2022-01-17 13:39:51.820
229,146,206,267,160,78,376,395,301,2022-01-17 13:39:51.931
231,145,236,265,157,77,372,396,303,2022-01-17 13:39:52.043
230,146,202,267,162,78,375,395,301,2022-01-17 13:39:52.155
230,145,223,265,157,77,372,395,304,2022-01-17 13:39:52.266
229,145,220,267,162,78,376,395,302,2022-01-17 13:39:52.378
229,144,208,267,160,78,376,396,303,2022-01-17 13:39:52.490
234,146,233,267,159,77,373,393,304,2022-01-17 13:39:52.601
229,145,193,267,158,78,374,396,303,2022-01-17 13:39:52.713
229,145,228,265,157,76,373,396,304,2022-01-17 13:39:52.824
232,146,202,267,160,78,375,393,301,2022-01-17 13:39:52.936
229,146,226,267,162,78,376,395,301,2022-01-17 13:39:53.048
232,146,236,265,157,77,372,394,304,2022-01-17 13:39:53.160
232,147,210,267,157,77,373,393,304,2022-01-17 13:39:53.272
229,145,237,265,157,77,373,396,306,2022-01-17 13:39:53.383
229,145,200,266,162,78,376,395,302,2022-01-17 13:39:53.495
231,145,228,265,157,76,372,395,304,2022-01-17 13:39:53.606
229,145,213,267,158,78,374,396,303,2022-01-17 13:39:53.718
232,146,211,266,157,77,372,393,304,2022-01-17 13:39:53.830
229,145,227,268,160,78,376,395,301,2022-01-17 13:39:53.941
232,146,198,267,159,77,373,393,304,2022-01-17 13:39:54.053
230,146,234,267,162,78,375,394,301,2022-01-17 13:39:54.165
229,145,199,268,159,78,374,396,303,2022-01-17 13:39:54.277
229,145,221,268,159,78,376,395,304,2022-01-17 13:39:54.388
232,146,222,267,159,77,373,393,304,2022-01-17 13:39:54.500
229,145,207,267,160,78,376,396,303,2022-01-17 13:39:54.612
229,145,240,267,162,78,376,395,302,2022-01-17 13:39:54.723
229,145,197,265,157,77,373,395,306,2022-01-17 13:39:54.835
229,145,233,267,157,78,374,395,304,2022-01-17 13:39:54.947
232,146,216,267,159,77,373,393,303,2022-01-17 13:39:55.058
229,145,229,265,158,78,374,396,303,2022-01-17 13:39:55.170
229,145,237,267,160,78,374,396,303,2022-01-17 13:39:55.282
232,146,212,265,157,77,372,393,304,2022-01-17 13:39:55.393
229,145,250,268,160,78,376,395,301,2022-01-17 13:39:55.505
229,145,208,265,157,76,374,395,306,2022-01-17 13:39:55.617
232,147,234,267,159,77,373,393,301,2022-01-17 13:39:55.729
234,146,222,267,159,77,372,393,304,2022-01-17 13:39:55.841
230,147,219,265,157,77,372,393,304,2022-01-17 13:39:55.952
230,145,241,265,157,77,372,395,304,2022-01-17 13:39:56.064
229,145,204,267,158,78,374,396,304,2022-01-17 13:39:56.175
231,147,241,265,157,77,372,394,304,2022-01-17 13:39:56.287
229,145,213,265,157,77,372,395,306,2022-01-17 13:39:56.398
232,147,230,267,160,77,372,393,304,2022-01-17 13:39:56.511
228,145,229,267,160,78,376,396,303,2022-01-17 13:39:56.622
231,145,213,265,157,77,372,394,304,2022-01-17 13:39:56.733
228,145,244,267,160,78,376,395,302,2022-01-17 13:39:56.845
229,145,208,267,157,78,374,395,304,2022-01-17 13:39:56.958
232,147,237,267,157,77,372,393,304,2022-01-17 13:39:57.068
232,146,226,268,160,78,373,393,301,2022-01-17 13:39:57.181
229,145,227,267,160,78,376,396,302,2022-01-17 13:39:57.292
229,144,239,268,162,78,375,394,301,2022-01-17 13:39:57.404
232,145,209,265,157,77,371,394,304,2022-01-17 13:39:57.515
229,145,245,268,157,76,374,395,306,2022-01-17 13:39:57.627
232,146,216,267,159,77,372,393,303,2022-01-17 13:39:57.738
228,144,244,267,162,78,376,395,303,2022-01-17 13:39:57.851
229,145,240,267,157,77,373,395,303,2022-01-17 13:39:57.962
229,145,223,267,159,78,374,395,303,2022-01-17 13:39:58.074
229,146,248,266,162,78,375,394,301,2022-01-17 13:39:58.185
229,145,212,265,157,77,372,395,304,2022-01-17 13:39:58.297
230,146,248,267,160,79,373,393,301,2022-01-17 13:39:58.409
229,145,221,267,159,78,374,395,303,2022-01-17 13:39:58.521
230,146,235,270,162,78,374,393,301,2022-01-17 13:39:58.632
230,145,240,268,157,77,372,394,306,2022-01-17 13:39:58.744
230,146,214,267,162,78,375,393,301,2022-01-17 13:39:58.855
230,146,246,267,162,78,373,393,301,2022-01-17 13:39:58.968
229,145,209,265,157,77,372,395,304,2022-01-17 13:39:59.079
230,146,242,270,162,78,374,393,301,2022-01-17 13:39:59.191
232,146,231,268,157,77,372,394,304,2022-01-17 13:39:59.302
229,145,231,268,158,77,374,396,303,2022-01-17 13:39:59.414
230,145,249,265,157,77,371,394,304,2022-01-17 13:39:59.525
229,144,209,268,160,78,374,395,303,2022-01-17 13:39:59.638
230,145,249,265,157,77,372,394,306,2022-01-17 13:39:59.749
232,147,217,268,157,77,372,392,304,2022-01-17 13:39:59.861
231,145,240,268,157,77,371,394,304,2022-01-17 13:39:59.972
232,146,242,268,159,77,373,391,304,2022-01-17 13:40:00.084
229,145,221,267,159,78,374,395,303,2022-01-17 13:40:00.195
229,145,247,268,159,78,374,395,303,2022-01-17 13:40:00.307
232,147,216,267,159,77,373,391,304,2022-01-17 13:40:00.419
228,145,250,268,160,78,376,394,302,2022-01-17 13:40:00.531
232,146,234,270,160,79,373,391,301,2022-01-17 13:40:00.642
229,145,252,268,158,78,374,396,303,2022-01-17 13:40:00.754
232,146,261,268,157,77,371,393,304,2022-01-17 13:40:00.865
229,145,227,267,160,78,374,395,303,2022-01-17 13:40:00.978
232,146,257,268,157,77,372,393,303,2022-01-17 13:40:01.089
230,146,222,270,160,79,374,393,301,2022-01-17 13:40:01.201
232,146,248,268,160,77,372,391,301,2022-01-17 13:40:01.312
230,146,235,270,162,79,374,393,301,2022-01-17 13:40:01.424
232,147,232,268,159,77,372,391,303,2022-01-17 13:40:01.536
229,145,240,268,160,78,376,395,302,2022-01-17 13:40:01.648
230,145,215,268,157,77,371,394,303,2022-01-17 13:40:01.759
229,145,253,268,160,78,374,395,302,2022-01-17 13:40:01.872
230,145,225,268,157,77,371,394,304,2022-01-17 13:40:01.983
232,146,245,268,157,77,371,393,302,2022-01-17 13:40:02.094
232,146,248,268,157,77,372,391,304,2022-01-17 13:40:02.206
232,146,230,268,160,77,373,391,301,2022-01-17 13:40:02.317
232,145,261,268,157,77,371,394,304,2022-01-17 13:40:02.430
230,147,224,268,160,77,373,391,301,2022-01-17 13:40:02.541
231,145,255,265,157,77,370,394,304,2022-01-17 13:40:02.654
232,146,239,268,160,77,372,391,304,2022-01-17 13:40:02.765
229,145,249,267,160,78,374,395,302,2022-01-17 13:40:02.876
229,146,258,270,162,79,375,393,301,2022-01-17 13:40:02.988
229,145,226,267,162,78,375,394,301,2022-01-17 13:40:03.100
229,145,258,268,162,79,376,395,302,2022-01-17 13:40:03.212
232,146,224,268,160,77,373,391,301,2022-01-17 13:40:03.323
232,146,251,270,162,79,373,393,301,2022-01-17 13:40:03.435
232,146,245,268,157,77,372,393,304,2022-01-17 13:40:03.546
232,147,235,268,160,77,373,393,301,2022-01-17 13:40:03.658
230,146,255,270,162,79,374,393,301,2022-01-17 13:40:03.770
230,146,218,270,162,79,375,393,301,2022-01-17 13:40:03.882
230,146,254,270,160,79,373,391,301,2022-01-17 13:40:03.993
229,145,223,269,159,78,374,394,303,2022-01-17 13:40:04.104
229,145,241,268,157,78,374,395,303,2022-01-17 13:40:04.216
229,144,245,268,160,78,374,395,302,2022-01-17 13:40:04.328
232,146,219,268,159,77,372,391,304,2022-01-17 13:40:04.439
229,146,250,270,162,79,374,393,301,2022-01-17 13:40:04.552
232,145,215,268,157,77,372,393,304,2022-01-17 13:40:04.664
232,146,246,268,159,77,373,393,303,2022-01-17 13:40:04.775
230,146,227,270,162,78,374,393,301,2022-01-17 13:40:04.886
232,146,226,270,160,79,373,391,301,2022-01-17 13:40:04.999
228,145,239,270,162,78,376,394,302,2022-01-17 13:40:05.110
230,145,209,268,157,77,371,394,304,2022-01-17 13:40:05.221
229,145,253,268,158,78,374,395,303,2022-01-17 13:40:05.333
232,146,225,267,159,77,372,391,304,2022-01-17 13:40:05.444
229,146,248,270,162,78,375,394,302,2022-01-17 13:40:05.557
229,146,250,270,162,79,374,393,301,2022-01-17 13:40:05.669
229,145,229,268,159,78,374,394,303,2022-01-17 13:40:05.780
232,146,257,268,157,77,371,393,304,2022-01-17 13:40:05.892
230,145,221,268,157,77,372,393,304,2022-01-17 13:40:06.003
232,146,258,268,160,77,372,393,304,2022-01-17 13:40:06.115
230,146,237,268,157,77,372,393,305,2022-01-17 13:40:06.227
232,146,248,267,159,77,372,391,305,2022-01-17 13:40:06.338
230,146,255,270,162,79,374,391,303,2022-01-17 13:40:06.450
232,147,225,268,157,77,372,393,304,2022-01-17 13:40:06.562
232,146,258,267,160,79,373,391,304,2022-01-17 13:40:06.674
230,146,226,270,162,79,375,393,303,2022-01-17 13:40:06.785
232,146,252,269,157,77,372,393,305,2022-01-17 13:40:06.896
232,146,246,270,160,80,373,391,304,2022-01-17 13:40:07.009
230,146,238,270,162,80,374,391,303,2022-01-17 13:40:07.120
230,146,258,270,162,79,375,393,301,2022-01-17 13:40:07.232
229,145,219,268,162,78,376,394,303,2022-01-17 13:40:07.344
232,146,255,269,160,77,373,391,304,2022-01-17 13:40:07.455
230,146,232,270,162,79,373,391,301,2022-01-17 13:40:07.567
229,145,247,269,159,77,373,394,304,2022-01-17 13:40:07.679
230,145,253,268,157,77,372,394,306,2022-01-17 13:40:07.790
230,145,229,268,157,77,372,392,306,2022-01-17 13:40:07.902
229,146,260,268,162,79,376,393,302,2022-01-17 13:40:08.014
229,145,223,269,159,77,372,394,306,2022-01-17 13:40:08.125
230,145,253,269,157,77,372,394,305,2022-01-17 13:40:08.237
229,145,242,270,162,79,376,394,302,2022-01-17 13:40:08.349
229,145,241,269,159,78,374,394,304,2022-01-17 13:40:08.460
229,145,258,270,162,79,376,394,302,2022-01-17 13:40:08.572
229,145,225,268,160,78,374,394,303,2022-01-17 13:40:08.683
229,145,261,268,157,78,374,394,303,2022-01-17 13:40:08.795
229,145,229,268,157,77,372,394,306,2022-01-17 13:40:08.907
230,145,253,269,157,77,371,393,304,2022-01-17 13:40:09.019
230,146,251,270,162,79,375,392,301,2022-01-17 13:40:09.130
228,145,235,270,162,79,376,394,303,2022-01-17 13:40:09.242
229,145,261,268,160,78,376,394,303,2022-01-17 13:40:09.354
232,146,226,268,160,79,373,391,303,2022-01-17 13:40:09.465
232,146,259,269,160,77,372,391,304,2022-01-17 13:40:09.577
229,145,237,268,157,78,372,394,306,2022-01-17 13:40:09.689
230,145,245,269,157,77,372,393,304,2022-01-17 13:40:09.801
234,147,257,269,157,77,369,393,304,2022-01-17 13:40:09.912
229,145,240,269,159,78,374,394,303,2022-01-17 13:40:10.024
229,145,276,270,162,79,376,394,302,2022-01-17 13:40:10.135
232,147,243,269,159,80,372,389,303,2022-01-17 13:40:10.247
232,146,271,270,160,79,373,391,301,2022-01-17 13:40:10.359
230,145,263,269,157,77,372,394,304,2022-01-17 13:40:10.471
229,145,256,269,160,78,376,394,303,2022-01-17 13:40:10.582
229,145,273,269,159,78,374,394,303,2022-01-17 13:40:10.694
232,146,239,269,157,77,372,392,304,2022-01-17 13:40:10.806
232,146,275,269,160,77,372,391,304,2022-01-17 13:40:10.918
230,146,250,270,162,78,375,392,301,2022-01-17 13:40:11.029
232,146,266,266,155,69,375,391,301,2022-01-17 13:40:11.141
230,146,271,270,162,79,374,391,301,2022-01-17 13:40:11.252
230,146,250,270,162,79,373,391,301,2022-01-17 13:40:11.364
229,145,277,269,157,77,373,394,306,2022-01-17 13:40:11.476
230,146,241,269,157,77,372,392,304,2022-01-17 13:40:11.587
232,147,272,269,159,77,372,391,304,2022-01-17 13:40:11.699
229,145,258,270,162,79,376,394,301,2022-01-17 13:40:11.811
229,145,260,270,162,78,376,394,302,2022-01-17 13:40:11.922
229,145,273,269,159,78,374,394,303,2022-01-17 13:40:12.034
231,145,240,269,157,77,372,393,304,2022-01-17 13:40:12.146
230,145,277,269,157,77,371,392,304,2022-01-17 13:40:12.258
224,137,244,268,156,69,375,395,303,2022-01-17 13:40:12.370
230,146,270,270,162,79,374,391,301,2022-01-17 13:40:12.481
229,146,270,270,162,79,376,393,302,2022-01-17 13:40:12.593
229,145,251,269,160,78,376,394,304,2022-01-17 13:40:12.704
230,146,272,270,162,79,373,391,304,2022-01-17 13:40:12.816
229,146,234,270,162,79,375,392,303,2022-01-17 13:40:12.928
229,145,269,269,157,77,372,394,306,2022-01-17 13:40:13.040
229,146,250,270,162,79,375,392,304,2022-01-17 13:40:13.151
232,146,255,269,157,77,372,391,305,2022-01-17 13:40:13.262
232,147,265,269,159,77,372,391,305,2022-01-17 13:40:13.374
229,145,237,269,160,78,374,394,304,2022-01-17 13:40:13.486
228,145,260,266,154,74,378,394,302,2022-01-17 13:40:13.598
229,145,236,269,159,78,374,394,306,2022-01-17 13:40:13.710
229,145,263,270,160,78,376,394,304,2022-01-17 13:40:13.821
229,145,255,270,162,82,376,393,303,2022-01-17 13:40:13.933
229,145,247,269,157,77,372,393,306,2022-01-17 13:40:14.044
229,145,277,270,162,78,376,394,304,2022-01-17 13:40:14.156
232,147,240,269,161,77,372,391,305,2022-01-17 13:40:14.268
232,146,269,269,159,77,372,391,305,2022-01-17 13:40:14.380
230,146,237,269,157,77,372,391,306,2022-01-17 13:40:14.491
229,146,254,270,162,79,375,392,301,2022-01-17 13:40:14.603
230,146,255,270,162,79,375,391,304,2022-01-17 13:40:14.715
230,146,230,270,160,79,374,391,304,2022-01-17 13:40:14.826
230,145,257,269,159,77,372,393,306,2022-01-17 13:40:14.938
231,146,221,269,159,77,372,391,306,2022-01-17 13:40:15.050
229,145,253,269,162,78,374,394,304,2022-01-17 13:40:15.161
229,145,240,269,159,77,373,394,306,2022-01-17 13:40:15.273
232,146,238,270,161,77,372,391,305,2022-01-17 13:40:15.385
229,145,256,270,162,82,376,393,304,2022-01-17 13:40:15.497
230,145,223,269,157,77,372,392,306,2022-01-17 13:40:15.608
229,145,259,269,160,78,374,394,306,2022-01-17 13:40:15.719
229,145,229,269,159,77,372,394,306,2022-01-17 13:40:15.832
232,145,247,269,157,77,372,392,306,2022-01-17 13:40:15.943
